combo,dataset,hw,axis,point,kv_cache_init,batch,total_cycles,seconds,throughput_req_per_s,energy_mJ,energy_per_req_mJ,compute_mJ,sram_mJ,dram_mJ,avg_power_W,edp_mJs,cyc:text/qkv,cyc:text/attn,cyc:text/omap,cyc:text/ffn_up,cyc:text/ffn_down,cyc:img/qkv,cyc:img/attn,cyc:img/omap,cyc:img/ffn_up,cyc:img/ffn_down,e_mJ:text/qkv,e_mJ:text/attn,e_mJ:text/omap,e_mJ:text/ffn_up,e_mJ:text/ffn_down,e_mJ:img/qkv,e_mJ:img/attn,e_mJ:img/omap,e_mJ:img/ffn_up,e_mJ:img/ffn_down
GEdit/all_off,GEdit,all_off,ctxlen,1497,1497,1,1683230215693.0,3366.460431386,0.0002970478995317618,2799346.028449301,2799346.028449301,2149276.736925696,71553.411051808,578515.8804717967,0.8315398578134443,9423887638.532122,13733119008.0,12722849069.0,10681314784.0,112916756288.0,54804082144.0,103817246400.0,102456569600.0,75463449600.0,797756467200.0,398878233600.0,6928.816802611201,5201.561533548797,5389.398399795201,56961.3488840704,28480.575953715204,162182.33966592,173736.22951104,121049.5899648,1268572.6814208003,634197.4431744
GEdit/all_off,GEdit,all_off,ctxlen,2566,2566,1,1745425647589.5,3490.851295179,0.0002864630760356474,2905801.005627698,2905801.005627698,2214026.356426752,73894.80614801601,617879.8430529295,0.8324046944198261,10143719204.024982,13733119008.0,20021346565.5,10681314784.0,112916756288.0,54804082144.0,103817246400.0,157353504000.0,75463449600.0,797756467200.0,398878233600.0,6928.816802611201,8438.857924425594,5389.398399795201,56961.3488840704,28480.575953715204,162182.33966592,264514.8239193599,121049.58996480003,1268572.6814208,634197.4431744
GEdit/all_off,GEdit,all_off,ctxlen,3211,3211,1,1782695516250.0,3565.3910325,0.0002804741445986121,2970983.0312918816,2970983.0312918816,2254208.061407232,75320.561770496,641454.4081141537,0.8332839243185821,10592716257.477743,13733119008.0,24278543226.0,10681314784.0,112916756288.0,54804082144.0,103817246400.0,190366176000.0,75463449600.0,797756467200.0,398878233600.0,6928.816802611201,10392.227950809594,5389.398399795201,56961.3488840704,28480.575953715204,162182.33966592,320289.5058249599,121049.58996480003,1268572.6814208,634197.4431744
GEdit/all_off,GEdit,all_off,ctxlen,5648,5648,1,1924946704206.5,3849.893408413,0.0002597474511410484,3217560.7914291844,3217560.7914291844,2406026.37929472,80721.423686736,730812.9884477281,0.835753214465322,12387266082.088116,13733119008.0,41043631982.5,10681314784.0,112916756288.0,54804082144.0,103817246400.0,315852275200.0,75463449600.0,797756467200.0,398878233600.0,6928.816802611201,17772.771539152,5389.398399795201,56961.3488840704,28480.575953715204,162182.33966592,531036.48478272,121049.5899648,1268572.6814208,634197.4431744
GEdit/all_off,GEdit,all_off,ctxlen,7609,7609,1,2039218131389.0,4078.436262778,0.0002451920136956748,3415942.886867899,3415942.886867899,2528191.2218787842,85072.794831584,802678.8701575313,0.8375619151005567,13931705341.380608,13733119008.0,54428057565.0,10681314784.0,112916756288.0,54804082144.0,103817246400.0,416739276800.0,75463449600.0,797756467200.0,398878233600.0,6928.816802611201,23711.495755987187,5389.398399795201,56961.3488840704,28480.575953715204,162182.33966592,700625.5705680001,121049.5899648,1268572.6814207998,634197.4431744
GEdit/all_off,GEdit,all_off,ctxlen,8754,8754,1,2105732092339.5,4211.464184679,0.00023744711011384762,3531718.5569061073,3531718.5569061073,2599521.535371264,87598.185432688,844598.8361021552,0.8385963650730025,14873706212.77274,13733119008.0,62178082515.5,10681314784.0,112916756288.0,54804082144.0,103817246400.0,475503212800.0,75463449600.0,797756467200.0,398878233600.0,6928.816802611201,27178.92598339519,5389.398399795201,56961.3488840704,28480.575953715204,162182.33966592,799631.0181888001,121049.5899648,1268572.6814207998,634197.4431744
GEdit/all_off,GEdit,all_off,ctxlen,12018,12018,1,2298954698643.5,4597.909397287,0.00021749014902078124,3862518.9058402004,3862518.9058402004,2802859.6517376,94838.206665328,964821.047437272,0.8400598124269526,17759511974.357494,13733119008.0,87563850419.5,10681314784.0,112916756288.0,54804082144.0,103817246400.0,643340051200.0,75463449600.0,797756467200.0,398878233600.0,6928.816802611201,37063.784025968,5389.398399795201,56961.3488840704,28480.575953715204,162182.33966592,1081901.98781952,121049.5899648,1268572.6814208,634197.4431744
MMVet/all_on,MMVet,all_on,ctxlen,2566,2566,1,122675568613.5,245.351137227,0.0040757911754645566,80192.9524352496,80192.9524352496,2245.198678016,1641.109417136,76306.6443400976,0.3268497278713714,19675432.077499013,4522460544.0,20021346565.5,3517469312.0,66280279744.0,28334012448.0,0,0,0,0,0,1787.6319498239998,8438.857924425594,1390.6990698496004,29360.4988379136,14680.150930636803,0,0,0,0,0
MMVet/all_on,MMVet,all_on,ctxlen,3211,3211,1,126932765274.0,253.865530548,0.003939093258708171,82997.7617938336,82997.7617938336,2289.666154496,1685.7130156160001,79022.3826237216,0.32693592396995647,21070270.832088094,4522460544.0,24278543226.0,3517469312.0,66280279744.0,28334012448.0,0,0,0,0,0,1787.6319498239998,10392.227950809594,1390.6990698496004,29360.4988379136,14680.150930636803,0,0,0,0,0
MMVet/all_on,MMVet,all_on,ctxlen,7609,7609,1,157082279613.0,314.164559226,0.0031830452246544836,102346.9324668112,102346.9324668112,2592.8722964480003,1989.8571775040002,97764.2029928592,0.3257749146465183,32153778.926568925,4522460544.0,54428057565.0,3517469312.0,66280279744.0,28334012448.0,0,0,0,0,0,1787.6319498239998,23711.495755987187,1390.6990698496004,29360.4988379136,14680.150930636803,0,0,0,0,0
MMVet/all_on,MMVet,all_on,ctxlen,12018,12018,1,190218072467.5,380.436144935,0.0026285620157644497,122326.37930759201,122326.37930759201,2896.8367984640004,2294.469198448,117135.07331068,0.3215424741747759,46537376.16751453,4522460544.0,87563850419.5,3517469312.0,66280279744.0,28334012448.0,0,0,0,0,0,1787.6319498239998,37063.784025968,1390.6990698496004,29360.4988379136,14680.150930636803,0,0,0,0,0
MMVet/all_off,MMVet,all_off,ctxlen,2566,2566,1,212156618789.5,424.313237579,0.0023567494752360085,148630.3217224176,148630.3217224176,2433.455818752,2435.319229616,143761.5466740496,0.35028443272429227,63065813.012298755,13733119008.0,20021346565.5,10681314784.0,112916756288.0,54804082144.0,0,0,0,0,0,6928.816802611201,8438.857924425594,5389.398399795201,56961.3488840704,28480.575953715204,0,0,0,0,0
