hw,batch,total_cycles,seconds,throughput_req_per_s,energy_mJ,energy_per_req_mJ,compute_mJ,sram_mJ,dram_mJ,avg_power_W,edp_mJs,cyc:text/qkv,cyc:text/attn,cyc:text/omap,cyc:text/ffn_up,cyc:text/ffn_down,cyc:img/qkv,cyc:img/attn,cyc:img/omap,cyc:img/ffn_up,cyc:img/ffn_down,e_mJ:text/qkv,e_mJ:text/attn,e_mJ:text/omap,e_mJ:text/ffn_up,e_mJ:text/ffn_down,e_mJ:img/qkv,e_mJ:img/attn,e_mJ:img/omap,e_mJ:img/ffn_up,e_mJ:img/ffn_down
ours,1,712162177693.5,1424.324355387,0.0007020872712158967,1298284.2927369713,1298284.2927369713,1003859.449571328,28554.186091760002,265870.6570738832,0.9115088763508007,1849177938.3603556,4522460544.0,24575843645.5,3517469312.0,66280279744.0,28334012448.0,50790499200.0,60167923200.0,38062886400.0,234721132800.0,201189542400.0,1787.6319498239998,10522.317746147195,1390.6990698496004,29360.4988379136,14680.150930636803,57818.314874879994,100802.40939552001,42402.39489024,482121.19130112004,414966.2482022401
ours,2,1321709939035.0,2643.41987807,0.0007565956572363486,2530913.4059265456,1265456.7029632728,2007718.899142656,55661.145414112005,467533.36136977765,0.9574390458826402,6690266806.900077,4526153856.0,49151687291.0,3520341888.0,66310646976.0,28336885024.0,101580998400.0,120335846400.0,76125772800.0,469442265600.0,402379084800.0,1843.8865084416,21044.63549229441,1434.7712798720004,30684.8029917184,15342.204519219196,115636.62974976,201604.8187910399,84804.78978048,964242.3826022401,829932.4964044801
ours,4,2540805461718.0,5081.610923436,0.0007871519603266568,4996171.6323054945,1249042.9080763736,4015437.798285312,109875.064058816,870858.7699613664,0.9831865736244255,25388600342.08467,4533540480.0,98303374582.0,3526087040.0,66371381440.0,28342630176.0,203161996800.0,240671692800.0,152251545600.0,938884531200.0,804758169600.0,1956.3956256768001,42089.27098458882,1522.9156999168001,33333.41129932799,16666.311696384,231273.25949951998,403209.63758208003,169609.57956096,1928484.7652044802,1659864.9928089601
ours,8,4978996507084.0,9957.993014168,0.0008033747351115618,9926688.085063392,1240836.010632924,8030875.596570624,218302.90134822403,1677509.587144544,0.9968563013591124,98849890604.88599,4548313728.0,196606749164.0,3537577344.0,66492850368.0,28354120480.0,406323993600.0,481343385600.0,304503091200.0,1877769062400.0,1609516339200.0,2181.4138601472,84178.54196917762,1699.2045400064003,38630.6279145472,19314.526050713604,462546.51899904,806419.2751641601,339219.15912192,3856969.5304089603,3319729.9856179203
ours,16,9868878935576.0,19737.757871152,0.000810629054447214,19790421.05813119,1236901.3161331993,16061751.193141248,435158.57592704,3293511.289062899,1.0026681443415697,390618539013.54114,4588016832.0,393213498328.0,3568457536.0,80211247424.0,28383923456.0,812647987200.0,962686771200.0,609006182400.0,3755538124800.0,3219032678400.0,2631.450329088,168357.08393835524,2051.7822201855997,49225.06114498561,24610.9547593728,925093.03799808,1612838.550328321,678438.31824384,7713939.060817921,6639459.971235841
ours,32,19687162523216.0,39374.325046432,0.0008127123439516523,39525590.75039798,1235174.7109499369,32123502.386282496,868869.925084672,6533218.43903081,1.0038417345259276,1556293457858.4163,7953085728.0,786426996656.0,6185733344.0,113869528192.0,54899595296.0,1625295974400.0,1925373542400.0,1218012364800.0,7511076249600.0,6438065356800.0,3531.5232669695997,336714.1678767105,2756.937580544,70413.92760586241,35203.812176691186,1850186.07599616,3225677.1006566384,1356876.63648768,15427878.121635841,13278919.942471681
ours,64,39366465011648.0,78732.930023296,0.0008128746127073294,79005924.42433137,1234467.5691301776,64247004.77256499,1737739.850169344,13021179.801597029,1.0034673471564515,6220367919126.693,13980570912.0,1572853993312.0,10873777376.0,223692622720.0,109408879328.0,3250591948800.0,3850747084800.0,2436024729600.0,15022152499200.0,12876130713600.0,5411.0901239808,673428.3357534208,4229.0201755648,113662.34980352,56824.87164928,3700372.1519923196,6451354.2013132805,2713753.27297536,30855756.243271682,26557839.884943362
figna,1,1655560108413.5,3311.120216827,0.0003020125922695389,1471531.3074091375,1471531.3074091375,906615.4284830721,66800.395102896,498115.48382316966,0.44442098475655156,4872417061.654792,5260199616.0,24575843645.5,4091266368.0,43250530176.0,15121958208.0,98267299200.0,192894732800.0,75463449600.0,797756467200.0,398878233600.0,1840.5792706559998,10601.795476451203,1431.8803193856004,15124.729176883202,7562.266100121598,59344.307527679994,326453.5567552,43589.278064640006,449706.5270476799,224764.36598784005
figna,2,3243436068155.0,6486.87213631,0.00030831500266593543,2904346.9808142004,1452173.4904071002,1813230.8569661442,131732.926387552,959383.197460504,0.4477268735662658,18840127504.01971,5263892928.0,49151687291.0,4094138944.0,43280897408.0,15124830784.0,196534598400.0,385789465600.0,150926899200.0,1595512934400.0,797756467200.0,1896.8338292736,21203.590952902403,1475.9525294080004,15578.344054784004,7788.975050751997,118688.61505536,652907.1135104,87178.55612928001,899413.0540953601,449528.73197568004
figna,4,6419187987638.0,12838.375975276,0.00031156588712646796,5769978.327624125,1442494.5819060314,3626461.7139322883,261597.98895686402,1881918.6247349728,0.44943210408667605,74077151139.23276,5271279552.0,98303374582.0,4099884096.0,43341631872.0,15130575936.0,393069196800.0,771578931200.0,301853798400.0,3191025868800.0,1595512934400.0,2009.3429465088002,42407.18190580481,1564.0969494528001,16485.5738105856,8242.392952012802,237377.23011072,1305814.2270208,174357.11225856002,1798826.1081907204,899057.4639513601
