variant,axis,point,kv_cache_init,batch,total_cycles,seconds,throughput_req_per_s,energy_mJ,energy_per_req_mJ,compute_mJ,sram_mJ,dram_mJ,avg_power_W,edp_mJs,cyc:text/qkv,cyc:text/attn,cyc:text/omap,cyc:text/ffn_up,cyc:text/ffn_down,cyc:img/qkv,cyc:img/attn,cyc:img/omap,cyc:img/ffn_up,cyc:img/ffn_down,e_mJ:text/qkv,e_mJ:text/attn,e_mJ:text/omap,e_mJ:text/ffn_up,e_mJ:text/ffn_down,e_mJ:img/qkv,e_mJ:img/attn,e_mJ:img/omap,e_mJ:img/ffn_up,e_mJ:img/ffn_down
all_off,batch,1,3254,1,1785521373469.5,3571.042746939,0.0002800302519081219,2975396.6046580593,2975396.6046580593,2256886.8417392643,75415.47727224001,643094.2856465552,0.8332010607292003,10625268464.328115,13733119008.0,24575843645.5,10681314784.0,112916756288.0,54804082144.0,103817246400.0,192894732800.0,75463449600.0,797756467200.0,398878233600.0,6928.816802611201,10522.317746147188,5389.398399795201,56961.3488840704,28480.575953715204,162182.33966592,324007.817952,121049.5899648,1268572.6814207998,634197.4431744
only_T1,batch,1,3254,1,1652794563869.5,3305.589127739,0.00030251793594323473,2725645.8341815793,2725645.8341815793,2096275.6634480641,69868.51929624,559501.6514372752,0.8245567518691369,9009865235.535,13733119008.0,24575843645.5,10681314784.0,112916756288.0,54804082144.0,103817246400.0,60167923200.0,75463449600.0,797756467200.0,398878233600.0,6928.816802611201,10522.317746147188,5389.398399795201,56961.3488840704,28480.575953715204,162182.33966592,100802.40939552001,121049.5899648,1268572.6814207998,634197.4431744
only_T2,batch,1,3254,1,1453122845469.5,2906.245690939,0.00034408653167822945,2386362.203337099,2386362.203337099,1757571.2558960642,59068.464766640005,569722.4826743953,0.8211150938745626,6935354870.465755,13733119008.0,24575843645.5,10681314784.0,112916756288.0,54804082144.0,103817246400.0,192894732800.0,75463449600.0,465357939200.0,398878233600.0,6928.816802611201,10522.317746147188,5389.398399795201,56961.3488840704,28480.575953715204,162182.33966592,324007.817952,121049.5899648,746017.98569984,634197.4431744
only_T3,batch,1,3254,1,1119348753629.5,2238.697507259,0.00044668830726683246,2143067.220704344,2143067.220704344,1667460.619044864,46531.596238512,429075.00542096805,0.9572830691758862,4797679244.877146,13733119008.0,24575843645.5,10681314784.0,66280279744.0,28334012448.0,103817246400.0,192894732800.0,75463449600.0,402379084800.0,201189542400.0,6928.816802611201,10522.317746147188,5389.398399795201,29360.498837913594,14680.150930636813,162182.33966592,324007.817952,121049.5899648,830110.2914764801,414966.24820224004
noT1,batch,1,3254,1,844888987293.5,1689.777974587,0.000591793723814166,1548035.0632134513,1548035.0632134513,1164470.627862528,34101.144067760004,349463.2912831632,0.9161174346545284,2615835553.704936,4522460544.0,24575843645.5,3517469312.0,66280279744.0,28334012448.0,50790499200.0,192894732800.0,38062886400.0,234721132800.0,201189542400.0,1787.6319498239998,10522.317746147195,1390.6990698496004,29360.4988379136,14680.150930636803,57818.314874879994,324007.817952,42402.39489024,482121.19130112004,414966.2482022401
noT2,batch,1,3254,1,879820129693.5,1759.640259387,0.0005682979771947061,1679804.9833123314,1679804.9833123314,1336736.5068001281,36774.13166616,306294.3448460432,0.9546297740985273,2955852476.5536065,4522460544.0,24575843645.5,3517469312.0,66280279744.0,28334012448.0,50790499200.0,60167923200.0,38062886400.0,402379084800.0,201189542400.0,1787.6319498239998,10522.317746147195,1390.6990698496004,29360.4988379136,14680.150930636803,57818.314874879994,100802.40939552001,42402.39489024,830110.2914764801,414966.2482022401
noT3,batch,1,3254,1,1213594221533.5,2427.188443067,0.0004119993249211413,1923099.9659450867,1923099.9659450867,1426847.143651328,49311.000194288004,446941.8220994705,0.7923158877255717,4667726012.202533,4522460544.0,24575843645.5,3517469312.0,112916756288.0,54804082144.0,50790499200.0,60167923200.0,38062886400.0,465357939200.0,398878233600.0,1787.6319498239998,10522.317746147188,1390.6990698496004,56961.348884070394,28480.57595371521,57818.31487487999,100802.40939552001,42402.39489024,746017.9856998401,634197.4431744
all_on,batch,1,3254,1,712162177693.5,1424.324355387,0.0007020872712158967,1298284.2927369713,1298284.2927369713,1003859.449571328,28554.186091760002,265870.6570738832,0.9115088763508007,1849177938.3603556,4522460544.0,24575843645.5,3517469312.0,66280279744.0,28334012448.0,50790499200.0,60167923200.0,38062886400.0,234721132800.0,201189542400.0,1787.6319498239998,10522.317746147195,1390.6990698496004,29360.4988379136,14680.150930636803,57818.314874879994,100802.40939552001,42402.39489024,482121.19130112004,414966.2482022401
all_off,batch,4,3254,4,6565799094294.0,13131.598188588,0.0003046087721048452,11499873.543550551,2874968.3858876377,9027547.366957057,294937.599343296,2177388.5772501985,0.8757405898654821,151011718593.47946,13744198944.0,98303374582.0,10689932512.0,113007857984.0,54812699872.0,415268985600.0,771578931200.0,301853798400.0,3191025868800.0,1595512934400.0,7415.264403456,42089.27098458882,5768.7025270784015,60934.26134548481,30466.73671946239,648729.35866368,1296031.271808,484198.35985920014,5074290.7256832,2536789.7726976
only_T1,batch,4,3254,4,6034891855894.0,12069.783711788,0.0003314061043275684,10500870.46164463,2625217.6154111577,8385102.6537922565,272749.767439296,1843018.0404130786,0.8700131429355203,126743235257.5541,13744198944.0,98303374582.0,10689932512.0,113007857984.0,54812699872.0,415268985600.0,240671692800.0,301853798400.0,3191025868800.0,1595512934400.0,7415.264403456,42089.27098458882,5768.7025270784015,60934.26134548481,30466.73671946239,648729.35866368,403209.63758208003,484198.35985920014,5074290.7256832,2536789.7726976
