variant,axis,point,kv_cache_init,batch,total_cycles,seconds,throughput_req_per_s,energy_mJ,energy_per_req_mJ,compute_mJ,sram_mJ,dram_mJ,avg_power_W,edp_mJs,cyc:text/qkv,cyc:text/attn,cyc:text/omap,cyc:text/ffn_up,cyc:text/ffn_down,cyc:img/qkv,cyc:img/attn,cyc:img/omap,cyc:img/ffn_up,cyc:img/ffn_down,e_mJ:text/qkv,e_mJ:text/attn,e_mJ:text/omap,e_mJ:text/ffn_up,e_mJ:text/ffn_down,e_mJ:img/qkv,e_mJ:img/attn,e_mJ:img/omap,e_mJ:img/ffn_up,e_mJ:img/ffn_down
all_off,ctxlen,2566,2566,1,1745425647589.5,3490.851295179,0.0002864630760356474,2905801.005627698,2905801.005627698,2214026.356426752,73894.80614801601,617879.8430529295,0.8324046944198261,10143719204.024982,13733119008.0,20021346565.5,10681314784.0,112916756288.0,54804082144.0,103817246400.0,157353504000.0,75463449600.0,797756467200.0,398878233600.0,6928.816802611201,8438.857924425594,5389.398399795201,56961.3488840704,28480.575953715204,162182.33966592,264514.8239193599,121049.58996480003,1268572.6814208,634197.4431744
only_T1,ctxlen,2566,2566,1,1642379196389.5,3284.758392779,0.0003044363939211892,2712034.0963163376,2712034.0963163376,2089445.349476352,69567.95734481601,553020.7894951697,0.8256418804741082,8908376759.375189,13733119008.0,20021346565.5,10681314784.0,112916756288.0,54804082144.0,103817246400.0,54307052800.0,75463449600.0,797756467200.0,398878233600.0,6928.816802611201,8438.857924425594,5389.398399795201,56961.3488840704,28480.575953715204,162182.33966592,91357.20484800001,121049.58996480003,1268572.6814208,634197.4431744
only_T2,ctxlen,2566,2566,1,1552030140389.5,3104.060280779,0.00032215869201774596,2567401.6509524975,2567401.6509524975,1927440.312010752,64716.369949616004,575244.9689921296,0.8271107577553247,7969369489.525511,13733119008.0,20021346565.5,10681314784.0,112916756288.0,54804082144.0,103817246400.0,157353504000.0,75463449600.0,604360960000.0,398878233600.0,6928.816802611201,8438.857924425594,5389.398399795201,56961.3488840704,28480.575953715204,162182.33966592,264514.8239193599,121049.58996480003,968852.4281856001,634197.4431744
only_T3,ctxlen,2566,2566,1,1079253027749.5,2158.506055499,0.00046328338873657764,2073471.6216739826,2073471.6216739826,1624600.1337323522,45010.925114288,403860.5628273424,0.9606049593386947,4475601051.28655,13733119008.0,20021346565.5,10681314784.0,66280279744.0,28334012448.0,103817246400.0,157353504000.0,75463449600.0,402379084800.0,201189542400.0,6928.816802611201,8438.857924425594,5389.398399795201,29360.498837913594,14680.150930636813,162182.33966591998,264514.82391936,121049.5899648,830110.2914764802,414966.24820224004
noT1,ctxlen,2566,2566,1,874904768613.5,1749.809537227,0.0005714907701238982,1640821.8579264495,1640821.8579264495,1263429.836834816,36184.546210736,341207.4748808977,0.9377145472230478,2871125735.8885865,4522460544.0,20021346565.5,3517469312.0,66280279744.0,28334012448.0,50790499200.0,157353504000.0,38062886400.0,304832640000.0,201189542400.0,1787.6319498239998,8438.857924425594,1390.6990698496004,29360.4988379136,14680.150930636803,57818.31487488,264514.8239193599,42402.39489024,630481.2836044801,414966.24820224004
noT2,ctxlen,2566,2566,1,869404762213.5,1738.809524427,0.0005751061205680569,1666193.2454470897,1666193.2454470897,1329906.1928284161,36473.569714736004,299813.48290393763,0.958237933506327,2897192684.7176676,4522460544.0,20021346565.5,3517469312.0,66280279744.0,28334012448.0,50790499200.0,54307052800.0,38062886400.0,402379084800.0,201189542400.0,1787.6319498239998,8438.857924425594,1390.6990698496004,29360.4988379136,14680.150930636803,57818.31487488,91357.20484800001,42402.39489024,830110.29147648,414966.24820224004
noT3,ctxlen,2566,2566,1,1342181874853.5,2684.363749707,0.00037252775452251976,2160123.274725605,2160123.274725605,1632746.371106816,56179.01455006401,471197.8890687248,0.8047058730256613,5798556613.569629,4522460544.0,20021346565.5,3517469312.0,112916756288.0,54804082144.0,50790499200.0,54307052800.0,38062886400.0,604360960000.0,398878233600.0,1787.6319498239998,8438.857924425578,1390.6990698496004,56961.348884070394,28480.57595371521,57818.31487488,91357.20484800001,42402.39489024,968852.4281856001,634197.4431744
all_on,ctxlen,2566,2566,1,771858317413.5,1543.716634827,0.0006477872800224551,1447054.9486150895,1447054.9486150895,1138848.829884416,31857.697407536,276348.4213231376,0.9373837892070096,2233842795.6843963,4522460544.0,20021346565.5,3517469312.0,66280279744.0,28334012448.0,50790499200.0,54307052800.0,38062886400.0,304832640000.0,201189542400.0,1787.6319498239998,8438.857924425594,1390.6990698496004,29360.4988379136,14680.150930636803,57818.31487488,91357.20484800001,42402.39489024,630481.2836044799,414966.24820224004
all_off,ctxlen,3211,3211,1,1782695516250.0,3565.3910325,0.0002804741445986121,2970983.0312918816,2970983.0312918816,2254208.061407232,75320.561770496,641454.4081141537,0.8332839243185821,10592716257.477743,13733119008.0,24278543226.0,10681314784.0,112916756288.0,54804082144.0,103817246400.0,190366176000.0,75463449600.0,797756467200.0,398878233600.0,6928.816802611201,10392.227950809594,5389.398399795201,56961.3488840704,28480.575953715204,162182.33966592,320289.5058249599,121049.58996480003,1268572.6814208,634197.4431744
only_T1,ctxlen,3211,3211,1,1654587721050.0,3309.1754421,0.0003021900825437653,2729136.759460522,2729136.759460522,2098616.6306488323,69951.594530496,560568.5342811936,0.8247180626145991,9031192342.539133,13733119008.0,24278543226.0,10681314784.0,112916756288.0,54804082144.0,103817246400.0,62258380800.0,75463449600.0,797756467200.0,398878233600.0,6928.816802611201,10392.227950809594,5389.398399795201,56961.3488840704,28480.575953715204,162182.33966592,104064.79303360001,121049.58996480003,1268572.6814208,634197.4431744
