model,hw,task,ablation,operator,cycles,pct_of_total
bagel,ours,GenEdit,,text/attn,24575843646,3.127
bagel,ours,GenEdit,,text/ffn_down,28334012448,3.606
bagel,ours,GenEdit,,text/ffn_up,33140139872,4.217
bagel,ours,GenEdit,,text/omap,10681314784,1.359
bagel,ours,GenEdit,,text/qkv,13733119008,1.748
bagel,ours,GenEdit,,img/attn,60167923200,7.657
bagel,ours,GenEdit,,img/drain,25600,0.000
bagel,ours,GenEdit,,img/ffn_down,201189542400,25.602
bagel,ours,GenEdit,,img/ffn_up,234721132800,29.869
bagel,ours,GenEdit,,img/omap,75463449600,9.603
bagel,ours,GenEdit,,img/prefetch,102400,0.000
bagel,ours,GenEdit,,img/qkv,103817246400,13.211
bagel,ours,GenEval,,text/attn,2063273502,0.351
bagel,ours,GenEval,,text/ffn_down,28334012448,4.826
bagel,ours,GenEval,,text/ffn_up,33140139872,5.644
bagel,ours,GenEval,,text/omap,10681314784,1.819
bagel,ours,GenEval,,text/qkv,13733119008,2.339
bagel,ours,GenEval,,img/attn,29142220800,4.963
bagel,ours,GenEval,,img/drain,25600,0.000
bagel,ours,GenEval,,img/ffn_down,134126361600,22.843
bagel,ours,GenEval,,img/ffn_up,216431174400,36.860
bagel,ours,GenEval,,img/omap,50308966400,8.568
bagel,ours,GenEval,,img/prefetch,102400,0.000
bagel,ours,GenEval,,img/qkv,69211497600,11.787
bagel,ours,MM,,text/attn,24515087541,22.205
bagel,ours,MM,,text/ffn_down,28334012448,25.664
bagel,ours,MM,,text/ffn_up,33140139872,30.017
bagel,ours,MM,,text/omap,10681314784,9.675
bagel,ours,MM,,text/qkv,13733119008,12.439
bagel,figna,GenEdit,,text/attn,24575843646,1.504
bagel,figna,GenEdit,,text/ffn_down,15121958208,0.925
bagel,figna,GenEdit,,text/ffn_up,21625265088,1.324
bagel,figna,GenEdit,,text/omap,4091266368,0.250
bagel,figna,GenEdit,,text/qkv,5260199616,0.322
bagel,figna,GenEdit,,img/attn,192894732800,11.806
bagel,figna,GenEdit,,img/drain,25600,0.000
bagel,figna,GenEdit,,img/ffn_down,398878233600,24.412
bagel,figna,GenEdit,,img/ffn_up,797756467200,48.824
bagel,figna,GenEdit,,img/omap,75463449600,4.619
bagel,figna,GenEdit,,img/prefetch,102400,0.000
bagel,figna,GenEdit,,img/qkv,98267299200,6.014
bagel,figna,GenEval,,text/attn,2063273502,0.203
bagel,figna,GenEval,,text/ffn_down,15121958208,1.484
bagel,figna,GenEval,,text/ffn_up,21625265088,2.123
bagel,figna,GenEval,,text/omap,4091266368,0.402
bagel,figna,GenEval,,text/qkv,5260199616,0.516
bagel,figna,GenEval,,img/attn,57115027200,5.606
bagel,figna,GenEval,,img/drain,25600,0.000
bagel,figna,GenEval,,img/ffn_down,265918822400,26.100
bagel,figna,GenEval,,img/ffn_up,531837644800,52.200
bagel,figna,GenEval,,img/omap,50308966400,4.938
bagel,figna,GenEval,,img/prefetch,102400,0.000
bagel,figna,GenEval,,img/qkv,65511532800,6.430
bagel,figna,MM,,text/attn,24515087541,34.717
bagel,figna,MM,,text/ffn_down,15121958208,21.415
bagel,figna,MM,,text/ffn_up,21625265088,30.625
bagel,figna,MM,,text/omap,4091266368,5.794
bagel,figna,MM,,text/qkv,5260199616,7.449
bagel,flightvgm,GenEdit,,text/attn,22938490883,2.495
bagel,flightvgm,GenEdit,,text/ffn_down,54632445728,5.941
bagel,flightvgm,GenEdit,,text/ffn_up,55522687808,6.038
bagel,flightvgm,GenEdit,,text/omap,10504292288,1.142
bagel,flightvgm,GenEdit,,text/qkv,13505518656,1.469
bagel,flightvgm,GenEdit,,img/attn,106820313600,11.617
bagel,flightvgm,GenEdit,,img/drain,204800,0.000
bagel,flightvgm,GenEdit,,img/ffn_down,201189542400,21.879
bagel,flightvgm,GenEdit,,img/ffn_up,359702515200,39.117
bagel,flightvgm,GenEdit,,img/omap,38062886400,4.139
bagel,flightvgm,GenEdit,,img/prefetch,204800,0.000
bagel,flightvgm,GenEdit,,img/qkv,56674598400,6.163
bagel,flightvgm,GenEval,,text/attn,1838097653,0.292
bagel,flightvgm,GenEval,,text/ffn_down,54632445728,8.668
bagel,flightvgm,GenEval,,text/ffn_up,55522687808,8.809
bagel,flightvgm,GenEval,,text/omap,10504292288,1.667
