model,hw,task,ablation,text/qkvo,text/attn,text/ffn_up,text/ffn_down,img/qkvo,img/attn,img/ffn_up,img/ffn_down,img/misc,total
bagel,base,GenEdit,all_on,24009810944,22938490883,55522687808,54632445728,94737484800,106820313600,402379084800,201189542400,409600,962230270563
bagel,base,GenEval,all_on,24009810944,1838097653,55522687808,54632445728,63158323200,31812211200,268252723200,134126361600,409600,633353070933
bagel,base,MM,all_on,24009810944,22888164698,55522687808,54632445728,0,0,0,0,0,157053109178
bagel,figna,GenEdit,all_on,9351465984,24575843646,21625265088,15121958208,173730748800,192894732800,797756467200,398878233600,128000,1633934843326
bagel,figna,GenEval,all_on,9351465984,2063273502,21625265088,15121958208,115820499200,57115027200,531837644800,265918822400,128000,1018854084382
bagel,figna,MM,all_on,9351465984,24515087541,21625265088,15121958208,0,0,0,0,0,70613776821
bagel,flightvgm,GenEdit,all_on,24009810944,22938490883,55522687808,54632445728,94737484800,106820313600,359702515200,201189542400,409600,919553700963
bagel,flightvgm,GenEval,all_on,24009810944,1838097653,55522687808,54632445728,63158323200,31812211200,265204396800,134126361600,409600,630304744533
bagel,flightvgm,MM,all_on,24009810944,22888164698,55522687808,54632445728,0,0,0,0,0,157053109178
bagel,ours,GenEdit,all_on,24414433792,24575843646,33140139872,28334012448,179280696000,60167923200,234721132800,201189542400,128000,785823852158
bagel,ours,GenEdit,alloff,24414433792,24575843646,56458378144,54804082144,179280696000,192894732800,797756467200,398878233600,128000,1729062995326
bagel,ours,GenEdit,noT3,24414433792,24575843646,56458378144,54804082144,179280696000,60167923200,465357939200,398878233600,128000,1263937657726
bagel,ours,GenEdit,onlyT1,24414433792,24575843646,56458378144,54804082144,179280696000,60167923200,797756467200,398878233600,128000,1596336185726
bagel,ours,GenEdit,onlyT2,24414433792,24575843646,56458378144,54804082144,179280696000,192894732800,465357939200,398878233600,128000,1396664467326
bagel,ours,GenEdit,onlyT3,24414433792,24575843646,33140139872,28334012448,179280696000,192894732800,402379084800,201189542400,128000,1086208613758
bagel,ours,GenEval,all_on,24414433792,2063273502,33140139872,28334012448,119520464000,29142220800,216431174400,134126361600,128000,587172208414
bagel,ours,GenEval,alloff,24414433792,2063273502,56458378144,54804082144,119520464000,57115027200,531837644800,265918822400,128000,1112132253982
bagel,ours,GenEval,noT3,24414433792,2063273502,56458378144,54804082144,119520464000,29142220800,429096281600,265918822400,128000,981418084382
bagel,ours,GenEval,onlyT1,24414433792,2063273502,56458378144,54804082144,119520464000,29142220800,531837644800,265918822400,128000,1084159447582
bagel,ours,GenEval,onlyT2,24414433792,2063273502,56458378144,54804082144,119520464000,57115027200,429096281600,265918822400,128000,1009390890782
bagel,ours,GenEval,onlyT3,24414433792,2063273502,33140139872,28334012448,119520464000,57115027200,268252723200,134126361600,128000,666966563614
bagel,ours,MM,all_on,24414433792,24515087541,33140139872,28334012448,0,0,0,0,0,110403673653
bagel,ours,MM,alloff,24414433792,24515087541,56458378144,54804082144,0,0,0,0,0,160191981621
bagel,ours,MM,noT3,24414433792,24515087541,56458378144,54804082144,0,0,0,0,0,160191981621
bagel,ours,MM,onlyT1,24414433792,24515087541,56458378144,54804082144,0,0,0,0,0,160191981621
bagel,ours,MM,onlyT2,24414433792,24515087541,56458378144,54804082144,0,0,0,0,0,160191981621
bagel,ours,MM,onlyT3,24414433792,24515087541,33140139872,28334012448,0,0,0,0,0,110403673653
bagel,sdma,GenEdit,all_on,24009810944,22938490883,55522687808,54632445728,94737484800,96078259200,402379084800,201189542400,409600,951488216163
bagel,sdma,GenEval,all_on,24009810944,1838097653,55522687808,54632445728,63158323200,28769664000,268252723200,134126361600,409600,630310523733
bagel,sdma,MM,all_on,24009810944,22888164698,55522687808,54632445728,0,0,0,0,0,157053109178
janus,base,GenEval,all_on,11933970432,900292728,8204604672,8026798080,17470494720,9520957440,26057687040,13028843520,245760,95143894392
janus,base,MM,all_on,11933970432,5577705192,8204604672,8026798080,0,0,0,0,0,33743078376
janus,figna,GenEval,all_on,8734507008,1009496832,6004973568,3444277248,34418995200,17189867520,51336806400,25668403200,76800,147807403776
janus,figna,MM,all_on,8734507008,6299394816,6004973568,3444277248,0,0,0,0,0,24483152640
janus,flightvgm,GenEval,all_on,11933970432,900292728,8204604672,8026798080,17470494720,9520957440,24157647360,13028843520,245760,93243854712
janus,flightvgm,MM,all_on,11933970432,5577705192,8204604672,8026798080,0,0,0,0,0,33743078376
janus,ours,GenEval,all_on,23810958336,1010582940,8940233280,4511820288,34418995200,9347235840,24429081600,13028843520,76800,119497827804
janus,ours,GenEval,alloff,23810958336,1010582940,16370033856,8113151232,34418995200,17189867520,51336806400,25668403200,76800,177918875484
janus,ours,GenEval,noT3,23810958336,1010582940,16370033856,8113151232,34418995200,9347235840,48128256000,25668403200,76800,166867693404
janus,ours,GenEval,onlyT1,23810958336,1010582940,16370033856,8113151232,34418995200,9347235840,51336806400,25668403200,76800,170076243804
janus,ours,GenEval,onlyT2,23810958336,1010582940,16370033856,8113151232,34418995200,17189867520,48128256000,25668403200,76800,174710325084
janus,ours,GenEval,onlyT3,23810958336,1010582940,8940233280,4511820288,34418995200,17189867520,26057687040,13028843520,76800,128969064924
janus,ours,MM,all_on,23810958336,5974702740,8940233280,4511820288,0,0,0,0,0,43237714644
janus,ours,MM,alloff,23810958336,5974702740,16370033856,8113151232,0,0,0,0,0,54268846164
janus,ours,MM,noT3,23810958336,5974702740,16370033856,8113151232,0,0,0,0,0,54268846164
janus,ours,MM,onlyT1,23810958336,5974702740,16370033856,8113151232,0,0,0,0,0,54268846164
janus,ours,MM,onlyT2,23810958336,5974702740,16370033856,8113151232,0,0,0,0,0,54268846164
janus,ours,MM,onlyT3,23810958336,5974702740,8940233280,4511820288,0,0,0,0,0,43237714644
janus,sdma,GenEval,all_on,11933970432,900292728,8204604672,8026798080,17470494720,8691148800,26057687040,13028843520,245760,94314085752
janus,sdma,MM,all_on,11933970432,5577705192,8204604672,8026798080,0,0,0,0,0,33743078376
