model,hw,task,ablation,status,total_cycles,text_cycles,image_cycles,total_energy_mJ,compute_mJ,sram_mJ,dram_mJ,avg_power_W,edp_mJs,total_mac,util_pct,wall_s
bagel,ours,GenEdit,,ok,785823852157.5,110464429757.5,675359422400.0,1461391.178,1173319.367,3232.923,284838.889,0.93,2296792090.537,1064204707098624,66.12565948607171,124.0
bagel,ours,GenEval,,ok,587172208414.5,87951859614.5,499220348800.0,1097415.21,887635.625,2435.079,207344.507,0.934,1288743424.953,819188219465728,68.12213555986862,61.5
bagel,ours,MM,,ok,110403673653.0,110403673653.0,0.0,72988.282,1826.975,139.364,71021.944,0.331,16116348.897,1217983062016,0.5386761801687925,111.3
bagel,figna,GenEdit,,ok,1633934843325.5,70674532925.5,1563260310400.0,1400013.406,906397.756,6625.609,486990.041,0.428,4575061371.189,1504155883188224,44.94984104404023,115.0
bagel,figna,GenEval,,ok,1018854084382.5,48161962782.5,970692121600.0,801300.018,517803.149,4051.578,279445.291,0.393,1632815591.721,945364562300928,45.3061726170304,54.1
bagel,figna,MM,,ok,70613776821.0,70613776821.0,0.0,41603.144,768.028,164.338,40670.777,0.295,5875510.185,1217983062016,0.8422128354748125,108.6
bagel,flightvgm,GenEdit,,ok,919553700963.0,157103435363.0,762450265600.0,2578254.142,2130192.997,7074.665,440986.479,1.402,4741686275.999,1420128664858624,75.40855949052411,105.9
bagel,flightvgm,GenEval,,ok,630304744533.0,136003042133.0,494301702400.0,1698643.996,1410062.357,4695.25,283886.389,1.347,2141326739.555,940041571094528,72.82265878009245,55.2
bagel,flightvgm,MM,,ok,157053109178.0,157053109178.0,0.0,109527.209,1826.975,182.898,107517.336,0.349,34403177.367,1217983062016,0.3786733641331235,96.7
bagel,sdma,GenEdit,,ok,951488216163.0,157103435363.0,794384780800.0,2681370.906,2233084.906,7395.098,440890.901,1.409,5102585640.177,1488723270938624,76.39775745929697,106.7
