model,hw,task,ablation,operator,cycles,pct_of_total
bagel,base,GenEdit,all_on,img/attn,106820313600,10.496
bagel,base,GenEdit,all_on,img/drain,204800,0.0
bagel,base,GenEdit,all_on,img/ffn_down,201189542400,19.768
bagel,base,GenEdit,all_on,img/ffn_up,402379084800,39.536
bagel,base,GenEdit,all_on,img/omap,38062886400,3.74
bagel,base,GenEdit,all_on,img/prefetch,204800,0.0
bagel,base,GenEdit,all_on,img/qkv,56674598400,5.569
bagel,base,GenEdit,all_on,text/attn,22938490883,2.254
bagel,base,GenEdit,all_on,text/ffn_down,54632445728,5.368
bagel,base,GenEdit,all_on,text/ffn_up,111045375616,10.911
bagel,base,GenEdit,all_on,text/omap,10504292288,1.032
bagel,base,GenEdit,all_on,text/qkv,13505518656,1.327
bagel,base,GenEval,all_on,img/attn,31812211200,4.618
bagel,base,GenEval,all_on,img/drain,204800,0.0
bagel,base,GenEval,all_on,img/ffn_down,134126361600,19.47
bagel,base,GenEval,all_on,img/ffn_up,268252723200,38.941
bagel,base,GenEval,all_on,img/omap,25375257600,3.684
bagel,base,GenEval,all_on,img/prefetch,204800,0.0
bagel,base,GenEval,all_on,img/qkv,37783065600,5.485
bagel,base,GenEval,all_on,text/attn,1838097653,0.267
bagel,base,GenEval,all_on,text/ffn_down,54632445728,7.931
bagel,base,GenEval,all_on,text/ffn_up,111045375616,16.12
bagel,base,GenEval,all_on,text/omap,10504292288,1.525
bagel,base,GenEval,all_on,text/qkv,13505518656,1.961
bagel,base,MM,all_on,text/attn,22888164698,10.767
bagel,base,MM,all_on,text/ffn_down,54632445728,25.7
bagel,base,MM,all_on,text/ffn_up,111045375616,52.238
bagel,base,MM,all_on,text/omap,10504292288,4.941
bagel,base,MM,all_on,text/qkv,13505518656,6.353
bagel,figna,GenEdit,all_on,img/attn,192894732800,11.651
bagel,figna,GenEdit,all_on,img/drain,25600,0.0
bagel,figna,GenEdit,all_on,img/ffn_down,398878233600,24.093
bagel,figna,GenEdit,all_on,img/ffn_up,797756467200,48.186
bagel,figna,GenEdit,all_on,img/omap,75463449600,4.558
bagel,figna,GenEdit,all_on,img/prefetch,102400,0.0
bagel,figna,GenEdit,all_on,img/qkv,98267299200,5.936
bagel,figna,GenEdit,all_on,text/attn,24575843646,1.484
bagel,figna,GenEdit,all_on,text/ffn_down,15121958208,0.913
bagel,figna,GenEdit,all_on,text/ffn_up,43250530176,2.612
bagel,figna,GenEdit,all_on,text/omap,4091266368,0.247
bagel,figna,GenEdit,all_on,text/qkv,5260199616,0.318
bagel,figna,GenEval,all_on,img/attn,57115027200,5.489
bagel,figna,GenEval,all_on,img/drain,25600,0.0
bagel,figna,GenEval,all_on,img/ffn_down,265918822400,25.557
bagel,figna,GenEval,all_on,img/ffn_up,531837644800,51.115
bagel,figna,GenEval,all_on,img/omap,50308966400,4.835
bagel,figna,GenEval,all_on,img/prefetch,102400,0.0
bagel,figna,GenEval,all_on,img/qkv,65511532800,6.296
bagel,figna,GenEval,all_on,text/attn,2063273502,0.198
bagel,figna,GenEval,all_on,text/ffn_down,15121958208,1.453
bagel,figna,GenEval,all_on,text/ffn_up,43250530176,4.157
bagel,figna,GenEval,all_on,text/omap,4091266368,0.393
bagel,figna,GenEval,all_on,text/qkv,5260199616,0.506
bagel,figna,MM,all_on,text/attn,24515087541,26.578
bagel,figna,MM,all_on,text/ffn_down,15121958208,16.394
bagel,figna,MM,all_on,text/ffn_up,43250530176,46.89
bagel,figna,MM,all_on,text/omap,4091266368,4.436
bagel,figna,MM,all_on,text/qkv,5260199616,5.703
bagel,flightvgm,GenEdit,all_on,img/attn,106820313600,10.955
bagel,flightvgm,GenEdit,all_on,img/drain,204800,0.0
bagel,flightvgm,GenEdit,all_on,img/ffn_down,201189542400,20.633
bagel,flightvgm,GenEdit,all_on,img/ffn_up,359702515200,36.89
bagel,flightvgm,GenEdit,all_on,img/omap,38062886400,3.904
bagel,flightvgm,GenEdit,all_on,img/prefetch,204800,0.0
bagel,flightvgm,GenEdit,all_on,img/qkv,56674598400,5.812
bagel,flightvgm,GenEdit,all_on,text/attn,22938490883,2.352
bagel,flightvgm,GenEdit,all_on,text/ffn_down,54632445728,5.603
bagel,flightvgm,GenEdit,all_on,text/ffn_up,111045375616,11.388
bagel,flightvgm,GenEdit,all_on,text/omap,10504292288,1.077
bagel,flightvgm,GenEdit,all_on,text/qkv,13505518656,1.385
bagel,flightvgm,GenEval,all_on,img/attn,31812211200,4.639
bagel,flightvgm,GenEval,all_on,img/drain,204800,0.0
bagel,flightvgm,GenEval,all_on,img/ffn_down,134126361600,19.557
bagel,flightvgm,GenEval,all_on,img/ffn_up,265204396800,38.669
bagel,flightvgm,GenEval,all_on,img/omap,25375257600,3.7
bagel,flightvgm,GenEval,all_on,img/prefetch,204800,0.0
bagel,flightvgm,GenEval,all_on,img/qkv,37783065600,5.509
bagel,flightvgm,GenEval,all_on,text/attn,1838097653,0.268
bagel,flightvgm,GenEval,all_on,text/ffn_down,54632445728,7.966
bagel,flightvgm,GenEval,all_on,text/ffn_up,111045375616,16.191
