model,hw,task,ablation,stage,qkvo,attn,ffn_up,ffn_down,misc,stage_total
bagel,base,GenEdit,all_on,text,24009810944,22938490883,111045375616,54632445728,0,212626123171
bagel,base,GenEdit,all_on,image,94737484800,106820313600,402379084800,201189542400,204800,805126630400
bagel,base,GenEval,all_on,text,24009810944,1838097653,111045375616,54632445728,0,191525729941
bagel,base,GenEval,all_on,image,63158323200,31812211200,268252723200,134126361600,204800,497349824000
bagel,base,MM,all_on,text,24009810944,22888164698,111045375616,54632445728,0,212575796986
bagel,figna,GenEdit,all_on,text,9351465984,24575843646,43250530176,15121958208,0,92299798014
bagel,figna,GenEdit,all_on,image,173730748800,192894732800,797756467200,398878233600,25600,1563260208000
bagel,figna,GenEval,all_on,text,9351465984,2063273502,43250530176,15121958208,0,69787227870
bagel,figna,GenEval,all_on,image,115820499200,57115027200,531837644800,265918822400,25600,970692019200
bagel,figna,MM,all_on,text,9351465984,24515087541,43250530176,15121958208,0,92239041909
bagel,flightvgm,GenEdit,all_on,text,24009810944,22938490883,111045375616,54632445728,0,212626123171
bagel,flightvgm,GenEdit,all_on,image,94737484800,106820313600,359702515200,201189542400,204800,762450060800
bagel,flightvgm,GenEval,all_on,text,24009810944,1838097653,111045375616,54632445728,0,191525729941
bagel,flightvgm,GenEval,all_on,image,63158323200,31812211200,265204396800,134126361600,204800,494301497600
bagel,flightvgm,MM,all_on,text,24009810944,22888164698,111045375616,54632445728,0,212575796986
bagel,ours,GenEdit,all_on,text,8039929856,24575843646,66280279744,28334012448,0,127230065694
bagel,ours,GenEdit,all_on,image,88853385600,60167923200,234721132800,201189542400,25600,584932009600
bagel,ours,GenEdit,alloff,text,24414433792,24575843646,112916756288,54804082144,0,216711115870
bagel,ours,GenEdit,alloff,image,179280696000,192894732800,797756467200,398878233600,25600,1568810155200
bagel,ours,GenEdit,allon_pure,text,24414433792,24575843646,66280279744,28334012448,0,143604569630
bagel,ours,GenEdit,allon_pure,image,179280696000,60167923200,234721132800,201189542400,25600,675359320000
bagel,ours,GenEdit,noT3,text,24414433792,24575843646,112916756288,54804082144,0,216711115870
