model,hw,task,ablation,status,total_cycles,text_cycles,image_cycles,total_energy_mJ,compute_mJ,sram_mJ,dram_mJ,avg_power_W,edp_mJs,total_mac,util_pct
bagel,ours,GenEdit,all_on,ok,712162177693.5,127230065693.5,584932112000.0,1298284.293,1003859.45,28554.186,265870.657,0.912,1849177938.36,1064640051736576,72.9951395264535
bagel,ours,GenEval,all_on,ok,543652970750.5,104717495550.5,438935475200.0,994159.956,774817.267,21932.184,197410.505,0.914,1080956026.597,819623564103680,73.61439005060967
bagel,ours,MM,all_on,ok,127169309589.0,127169309589.0,0.0,83136.046,2291.734,1687.909,79156.403,0.327,21144707.159,1653327699968,0.634814263448537
bagel,figna,GenEdit,all_on,ok,1655560108413.5,92299798013.5,1563260310400.0,1471531.307,906615.428,66800.395,498115.484,0.444,4872417061.655,1504591227826176,44.37553681853436
bagel,figna,GenEval,all_on,ok,1040479349470.5,69787227870.5,970692121600.0,849651.639,518020.821,41060.084,290570.734,0.408,1768089969.631,945799906938880,44.3849617049121
bagel,figna,MM,all_on,ok,92239041909.0,92239041909.0,0.0,54969.602,985.7,2187.681,51796.22,0.298,10140686.897,1653327699968,0.8752138999843956
bagel,flightvgm,GenEdit,all_on,ok,975076388771.0,212626123171.0,762450265600.0,2681511.339,2130846.014,71399.789,479265.536,1.375,5229356785.742,1420564009496576,71.13645435884946
bagel,flightvgm,GenEval,all_on,ok,685827432341.0,191525729941.0,494301702400.0,1780486.456,1410715.374,47605.636,322165.446,1.298,2442212908.268,940476915732480,66.95813295809853
bagel,flightvgm,MM,all_on,ok,212575796986.0,212575796986.0,0.0,150758.503,2479.992,2482.118,145796.393,0.355,64095217.766,1653327699968,0.379765207256011
bagel,sdma,GenEdit,all_on,ok,1007010903971.0,212626123171.0,794384780800.0,2787512.0,2233737.923,74604.119,479169.958,1.384,5614109958.887,1489158615576576,72.20658956071641
bagel,sdma,GenEval,all_on,ok,685833211541.0,191525729941.0,494307481600.0,1779444.944,1411916.978,47660.356,319867.609,1.297,2440804881.458,941277985607680,67.01460117064103
bagel,sdma,MM,all_on,ok,212575796986.0,212575796986.0,0.0,150758.503,2479.992,2482.118,145796.393,0.355,64095217.766,1653327699968,0.379765207256011
bagel,base,GenEdit,all_on,ok,1017752958371.0,212626123171.0,805126835200.0,2821842.922,2256886.842,75415.477,489540.603,1.386,5743877963.112,1504591227826176,72.18487349207922
bagel,base,GenEval,all_on,ok,688875758741.0,191525729941.0,497350028800.0,1789477.464,1418699.86,47892.281,322885.322,1.299,2465455291.087,945799906938880,67.03913658596765
bagel,base,MM,all_on,ok,212575796986.0,212575796986.0,0.0,150758.503,2479.992,2482.118,145796.393,0.355,64095217.766,1653327699968,0.379765207256011
