group,label,text_lanes,total_cyc,text_cyc,image_cyc,tc,tm,ic,im,agg_util,energy_mJ,edp_mJs
A_fullBW,ARGUS T3-full,—(2048),611855247099.0,26923135099.0,584932112000.0,3.0,100.0,88.73,5.97,84.96188889884404,2443048.959,2989584648.655
A_fullBW,w2,64,657346970107.0,28377274107.0,628969696000.0,2.85,58.92,86.18,11.45,82.58070595101985,3486190.575,4583273623.14
A_fullBW,w4,128,663848275547.0,16719745147.0,647128530400.0,4.83,100.0,83.76,11.13,81.77196333223993,3495205.859,4640572764.436
A_fullBW,w8,256,705753691547.0,16719745147.0,689033946400.0,4.83,100.0,78.67,10.45,76.91660347848838,3550763.101,5011928332.813
A_fullBW,w16,512,807377538347.0,16719745147.0,790657793200.0,4.83,100.0,68.55,9.11,67.2351833781997,3686058.963,5952082424.091
A_fullBW,w32,1024,1178641093947.0,16719745147.0,1161921348800.0,4.83,100.0,46.65,6.2,46.05657916135834,4180496.943,9854610979.72
B_halfBW,w2,64,662414434294.0,33439490294.0,628974944000.0,2.42,100.0,86.18,22.9,81.94896432783197,3492778.278,4627333494.613
B_halfBW,w4,128,680573268694.0,33439490294.0,647133778400.0,2.42,100.0,83.76,22.26,79.76242873947977,3516948.35,4787082068.979
B_halfBW,w8,256,722478684694.0,33439490294.0,689039194400.0,2.42,100.0,78.67,20.91,75.13602545823427,3572505.592,5162118282.609
B_halfBW,w16,512,824102531494.0,33439490294.0,790663041200.0,2.42,100.0,68.55,18.22,65.87065901592274,3707801.454,6111217129.793
B_halfBW,w32,1024,1195366087094.0,33439490294.0,1161926596800.0,2.42,100.0,46.65,12.4,45.4121774344191,4202239.434,10046429018.156
