combo,dataset,hw,axis,point,kv_cache_init,batch,total_cycles,seconds,throughput_req_per_s,energy_mJ,energy_per_req_mJ,compute_mJ,sram_mJ,dram_mJ,avg_power_W,edp_mJs,cyc:text/qkv,cyc:text/attn,cyc:text/omap,cyc:text/ffn_up,cyc:text/ffn_down,cyc:img/qkv,cyc:img/attn,cyc:img/omap,cyc:img/ffn_up,cyc:img/ffn_down,e_mJ:text/qkv,e_mJ:text/attn,e_mJ:text/omap,e_mJ:text/ffn_up,e_mJ:text/ffn_down,e_mJ:img/qkv,e_mJ:img/attn,e_mJ:img/omap,e_mJ:img/ffn_up,e_mJ:img/ffn_down
MMVet/all_on,MMVet,all_on,ctxlen,2566,2566,1,15723858955.0,31.44771791,0.031798809785240786,183662.26931189426,183662.26931189426,894.3360325222401,1314.600938672,176736.1746542,5.8402415665745915,5775759.2360309,828943360.0,4033090187.0,644893312.0,6811288064.0,3405644032.0,0,0,0,0,0,8617.60101572608,41684.42695390402,6704.21274435584,70810.07362981889,35404.93832658944,0,0,0,0,0
MMVet/all_off,MMVet,all_off,ctxlen,2566,2566,1,50746305547.0,101.492611094,0.009852934013825147,590481.141060748,590481.141060748,2433.455818752,2435.319229616,570388.47434828,5.817971719279728,59929472.808019854,3310849024.0,4033090187.0,2575264384.0,27218067968.0,13609033984.0,0,0,0,0,0,34220.807477248,41684.426953904,26617.817769984,281325.326757888,140662.564890624,0,0,0,0,0
GEdit/all_off,GEdit,all_off,ctxlen,2566,2566,1,1584015334347.0,3168.030668694,0.00031565350988607807,5725575.525611148,5725575.525611148,2214026.356426752,73894.80614801601,2962449.76273228,1.8072980107769852,18138798861.059887,3310849024.0,4033090187.0,2575264384.0,27218067968.0,13609033984.0,103817246400.0,157353504000.0,75463449600.0,797756467200.0,398878233600.0,34220.807477248,41684.426953904,26617.817769984,281325.326757888,140662.564890624,220818.31833600003,551490.7629504,145633.58208000002,1482660.58752,741241.396224
MMVet/all_on,MMVet,all_on,ctxlen,3211,3211,1,16657502260.0,33.31500452,0.030016505007516053,194525.58412655425,194525.58412655425,938.80350900224,1359.204537152,187230.32540240002,5.838978170024701,6480620.714431796,828943360.0,4966733492.0,644893312.0,6811288064.0,3405644032.0,0,0,0,0,0,8617.60101572608,51334.00547206402,6704.21274435584,70810.07362981889,35404.93832658944,0,0,0,0,0
MMVet/all_off,MMVet,all_off,ctxlen,3211,3211,1,51679948852.0,103.359897704,0.009674932175956481,601344.455875408,601344.455875408,2477.9232952320003,2479.922828096,580882.62509648,5.817966824982027,62154901.44414972,3310849024.0,4966733492.0,2575264384.0,27218067968.0,13609033984.0,0,0,0,0,0,34220.807477248,51334.005472064004,26617.817769984,281325.326757888,140662.564890624,0,0,0,0,0
GEdit/all_off,GEdit,all_off,ctxlen,3211,3211,1,1617961649652.0,3235.923299304,0.00030903081053098056,5893982.895233808,5893982.895233808,2254208.061407232,75320.561770496,3079065.77716048,1.8214223113698393,19072476576.386326,3310849024.0,4966733492.0,2575264384.0,27218067968.0,13609033984.0,103817246400.0,190366176000.0,75463449600.0,797756467200.0,398878233600.0,34220.807477248,51334.005472064004,26617.817769984,281325.326757888,140662.564890624,220818.31833600003,666118.3441584001,145633.58208000002,1482660.58752,741241.396224
MMVet/all_on,MMVet,all_on,ctxlen,7609,7609,1,23023646842.0,46.047293684,0.021716802877982572,268598.2429066743,268598.2429066743,1242.00965095424,1663.3486990400002,258785.79050408,5.833095094576725,12368222.17413,828943360.0,11332878074.0,644893312.0,6811288064.0,3405644032.0,0,0,0,0,0,8617.60101572608,117130.67629558402,6704.21274435584,70810.07362981889,35404.93832658944,0,0,0,0,0
MMVet/all_off,MMVet,all_off,ctxlen,7609,7609,1,58046093434.0,116.092186868,0.008613844109397539,675417.114655528,675417.114655528,2781.1294371840004,2784.066989984,652438.09019816,5.817937734461801,78410649.88843495,3310849024.0,11332878074.0,2575264384.0,27218067968.0,13609033984.0,0,0,0,0,0,34220.807477248,117130.67629558401,26617.817769984,281325.326757888,140662.564890624,0,0,0,0,0
GEdit/all_off,GEdit,all_off,ctxlen,7609,7609,1,1850700895034.0,3701.401790068,0.00027016791386531115,7043971.302714729,7043971.302714729,2528191.2218787842,85072.794831584,3875497.01749416,1.9030550321815562,26072567989.05592,3310849024.0,11332878074.0,2575264384.0,27218067968.0,13609033984.0,103817246400.0,416739276800.0,75463449600.0,797756467200.0,398878233600.0,34220.807477248,117130.67629558401,26617.817769984,281325.326757888,140662.564890624,220818.31833600003,1447749.0618192002,145633.58208000002,1482660.58752,741241.396224
MMVet/all_on,MMVet,all_on,ctxlen,12018,12018,1,29405714023.0,58.811428046,0.017003498014328763,342855.87469837425,342855.87469837425,1545.97415297024,1967.9607199840002,330520.22561852,5.829749184634758,20163843.604971834,828943360.0,17714945255.0,644893312.0,6811288064.0,3405644032.0,0,0,0,0,0,8617.60101572608,183091.620751984,6704.21274435584,70810.07362981889,35404.93832658944,0,0,0,0,0
MMVet/all_off,MMVet,all_off,ctxlen,12018,12018,1,64428160615.0,128.85632123,0.007760581634292246,749674.746447228,749674.746447228,3085.0939392,3088.679010928,724172.5253126001,5.8179120689710535,96600329.94622281,3310849024.0,17714945255.0,2575264384.0,27218067968.0,13609033984.0,0,0,0,0,0,34220.807477248,183091.620751984,26617.817769984,281325.326757888,140662.564890624,0,0,0,0,0
