hw,batch,total_cycles,seconds,throughput_req_per_s,energy_mJ,energy_per_req_mJ,compute_mJ,sram_mJ,dram_mJ,avg_power_W,edp_mJs,cyc:text/qkv,cyc:text/attn,cyc:text/omap,cyc:text/ffn_up,cyc:text/ffn_down,cyc:img/qkv,cyc:img/attn,cyc:img/omap,cyc:img/ffn_up,cyc:img/ffn_down,e_mJ:text/qkv,e_mJ:text/attn,e_mJ:text/omap,e_mJ:text/ffn_up,e_mJ:text/ffn_down,e_mJ:img/qkv,e_mJ:img/attn,e_mJ:img/omap,e_mJ:img/ffn_up,e_mJ:img/ffn_down
ours,1,611855247099.0,1223.710494198,0.00081718674861523,2443048.958744542,2443048.958744542,986066.4307303219,28554.186091760002,1244871.7677927602,1.9964272353042753,2989584648.6551933,828943360.0,5028976379.0,644893312.0,13613548032.0,6806774016.0,50790499200.0,60167923200.0,38062886400.0,234721132800.0,201189542400.0,8617.60101572608,51977.17583352001,6704.21274435584,141579.697975296,70789.750499328,86784.83457638403,215051.93233440001,54333.133381632004,550775.8191165442,461022.980038656
ours,2,1201832955382.0,2403.665910764,0.0008320623889716456,4632183.892783036,2316091.946391518,1972132.8614606438,55661.145414112005,2243839.9992936803,1.927132997992515,11134222515.472668,830584832.0,10057952758.0,646329600.0,13622576128.0,6811288064.0,101580998400.0,120335846400.0,76125772800.0,469442265600.0,402379084800.0,8684.20971708416,103954.35166703997,6757.65368864768,142978.422530048,71489.014288384,173569.669152768,430103.86466880026,108666.26676326407,1101551.638233088,922045.960077312
ours,4,2381788371948.0,4763.576743896,0.0008397051658977805,9010453.760860024,2252613.440215006,3944265.7229212876,109875.064058816,4241776.46229552,1.8915311425193118,42921987987.18306,833867776.0,20115905516.0,649202176.0,13640632320.0,6820316160.0,203161996800.0,240671692800.0,152251545600.0,938884531200.0,804758169600.0,8817.42711980032,207908.70333408003,6864.53557723136,145775.871639552,72887.541866496,347139.33830553596,860207.7293376001,217332.53352652813,2203103.276466177,1844091.920154624
ours,8,4741699205080.0,9483.39841016,0.0008435794484210673,17766993.497014,2220874.18712675,7888531.445842575,218302.90134822403,8237649.388299201,1.8734838217889702,168491477882.90564,840433664.0,40231811032.0,654947328.0,13676744704.0,6838372352.0,406323993600.0,481343385600.0,304503091200.0,1877769062400.0,1609516339200.0,9083.86192523264,415817.40666816005,7078.2993543987195,151370.76985856,75684.59702272,694278.6766110719,1720415.4586752001,434665.06705305626,4406206.552932354,3688183.840309248
ours,16,9462942386096.0,18925.884772192,0.0008454030124662371,35281920.93849955,2205120.0586562217,15777062.89168515,435158.57592704,16230816.755058559,1.8642151404376952,667741570223.6306,1654603776.0,80463622064.0,1286914048.0,13748969472.0,6874484736.0,812647987200.0,962686771200.0,609006182400.0,3755538124800.0,3219032678400.0,9616.73153609728,831634.8133363201,7505.826908733442,162560.566296576,81278.707335168,1388557.3532221438,3440830.9173504002,869330.1341061125,8812413.105864707,7376367.680618496
ours,32,18925451423584.0,37850.902847168,0.0008454223702194791,70337805.29956347,2198056.4156113584,31554125.7833703,868869.925084672,32237174.164033283,1.8582860647622865,2662349434876.7954,3309207552.0,160927244128.0,2573828096.0,27209039872.0,13604519936.0,1625295974400.0,1925373542400.0,1218012364800.0,7511076249600.0,6438065356800.0,10682.47075782656,1663269.6266726402,8360.88201740288,184940.15917260802,92466.927960064,2777114.7064442877,6881661.8347008005,1738660.268212225,17624826.211729415,14752735.361236991
ours,64,37850902847168.0,75701.805694336,0.0008454223702194791,140451584.60165107,2194556.009400798,63108251.5667406,1737739.850169344,64250322.330590725,1.8553267430470242,10632438566975.783,6618415104.0,321854488256.0,5147656192.0,54418079744.0,27209039872.0,3250591948800.0,3850747084800.0,2436024729600.0,15022152499200.0,12876130713600.0,12893.370182533119,3326539.2533452804,10132.76410904576,230570.03420057602,115278.713847808,5554229.412888575,13763323.669401601,3477320.53642445,35249652.42345883,29505470.722473983
figna,1,1579980055547.0,3159.960111094,0.0003164596908958427,3978336.9057022817,3978336.9057022817,1001134.4274110055,66800.395102896,2436408.0665242802,1.2589832674580674,12571385930.512342,828943360.0,5028976379.0,644893312.0,6811288064.0,3405644032.0,98267299200.0,192894732800.0,75463449600.0,797756467200.0,398878233600.0,8681.13780072448,52056.653563824,6753.63024379904,71332.48719536129,35666.145109360645,97869.09029990401,676205.9217088,62954.221166592004,608621.6292925441,304221.9171102721
figna,2,3148285962230.0,6296.57192446,0.0003176331540390562,7820086.2696957635,3910043.1348478817,2002268.854822011,131732.926387552,4741598.6998172,1.2419593333504915,49239735652.621475,830584832.0,10057952758.0,646329600.0,6820316160.0,3410158080.0,196534598400.0,385789465600.0,150926899200.0,1595512934400.0,797756467200.0,8758.33596624896,104113.307127648,6815.30743799808,71921.47072352257,35960.53838512128,195738.18059980802,1352411.8434176003,125908.44233318401,1217243.2585850877,608443.8342205442
figna,4,6284897775596.0,12569.795551192,0.0003182231551586913,15503584.997682728,3875896.249420682,4004537.709644022,261597.98895686402,9351979.966403041,1.2333999335583872,194876893731.39938,833867776.0,20115905516.0,649202176.0,6838372352.0,3419186176.0,393069196800.0,771578931200.0,301853798400.0,3191025868800.0,1595512934400.0,8912.73229729792,208226.614255296,6938.661826396161,73099.43777984513,36549.324936642566,391476.36119961605,2704823.686835201,251816.88466636802,2434486.5171701754,1216887.6684410882
