variant,axis,point,kv_cache_init,batch,total_cycles,seconds,throughput_req_per_s,energy_mJ,energy_per_req_mJ,compute_mJ,sram_mJ,dram_mJ,avg_power_W,edp_mJs,cyc:text/qkv,cyc:text/attn,cyc:text/omap,cyc:text/ffn_up,cyc:text/ffn_down,cyc:img/qkv,cyc:img/attn,cyc:img/omap,cyc:img/ffn_up,cyc:img/ffn_down,e_mJ:text/qkv,e_mJ:text/attn,e_mJ:text/omap,e_mJ:text/ffn_up,e_mJ:text/ffn_down,e_mJ:img/qkv,e_mJ:img/attn,e_mJ:img/omap,e_mJ:img/ffn_up,e_mJ:img/ffn_down
all_off,batch,1,3254,1,1620552449339.0,3241.104898678,0.0003085367586861769,5905635.943935565,5905635.943935565,2256886.8417392643,75415.47727224001,3087167.89012236,1.8221057721224596,19140785587.698433,3310849024.0,5028976379.0,2575264384.0,27218067968.0,13609033984.0,103817246400.0,192894732800.0,75463449600.0,797756467200.0,398878233600.0,34220.807477248,51977.17583352001,26617.817769984,281325.326757888,140662.564890624,220818.31833600003,673760.1829056,145633.58208000002,1482660.58752,741241.396224
only_T1,batch,1,3254,1,1487825639739.0,2975.651279478,0.0003360608841824448,5274382.840884364,5274382.840884364,2096275.6634480641,69868.51929624,2661890.9662183602,1.7725137610243147,15694724048.934368,3310849024.0,5028976379.0,2575264384.0,27218067968.0,13609033984.0,103817246400.0,60167923200.0,75463449600.0,797756467200.0,398878233600.0,34220.807477248,51977.17583352001,26617.817769984,281325.326757888,140662.564890624,220818.31833600003,215051.93233440001,145633.58208000002,1482660.58752,741241.396224
only_T2,batch,1,3254,1,1288153921339.0,2576.307842678,0.00038815237194656367,4922511.170098764,4922511.170098764,1757571.2558960642,59068.464766640005,2719425.2730343603,1.9106843866072898,12681904133.195505,3310849024.0,5028976379.0,2575264384.0,27218067968.0,13609033984.0,103817246400.0,192894732800.0,75463449600.0,465357939200.0,398878233600.0,34220.807477248,51977.17583352001,26617.817769984,281325.326757888,140662.564890624,220818.31833600003,673760.1829056,145633.58208000002,931653.9000832001,741241.396224
only_T3,batch,1,3254,1,1007079595835.0,2014.15919167,0.0004964850862512361,4057847.5426504444,4057847.5426504444,1649777.832364032,46531.596238512,2059414.2352974,2.0146607872071725,8173150926.424914,3310849024.0,5028976379.0,2575264384.0,13613548032.0,6806774016.0,103817246400.0,192894732800.0,75463449600.0,402379084800.0,201189542400.0,34220.807477248,51977.17583352001,26617.817769984,141579.697975296,70789.750499328,220818.31833600003,673760.1829056,145633.58208000002,922223.7551493121,461022.98003865604
noT1,batch,1,3254,1,744582056699.0,1489.164113398,0.000671517659472859,3074302.0617957423,3074302.0617957423,1146677.609021522,34101.144067760004,1670148.69169676,2.064448125049661,4578140304.1717,828943360.0,5028976379.0,644893312.0,13613548032.0,6806774016.0,50790499200.0,192894732800.0,38062886400.0,234721132800.0,201189542400.0,8617.60101572608,51977.17583352001,6704.21274435584,141579.697975296,70789.750499328,86784.83457638403,673760.1829056002,54333.133381632004,550775.819116544,461022.980038656
noT2,batch,1,3254,1,779513199099.0,1559.026398198,0.0006414259573512351,3032452.2323773103,3032452.2323773103,1313950.33210069,36774.13166616,1447873.80888076,1.945093576274506,4727673081.550682,828943360.0,5028976379.0,644893312.0,13613548032.0,6806774016.0,50790499200.0,60167923200.0,38062886400.0,402379084800.0,201189542400.0,8617.60101572608,51977.17583352001,6704.21274435584,141579.697975296,70789.750499328,86784.83457638403,215051.93233440001,54333.133381632004,922223.7551493122,461022.980038656
noT3,batch,1,3254,1,1060587524603.0,2121.175049206,0.000471436810636784,3897115.85982563,3897115.85982563,1421743.755632722,49311.000194288004,2107884.84661772,1.8372438716382231,8266464925.727115,828943360.0,5028976379.0,644893312.0,27218067968.0,13609033984.0,50790499200.0,60167923200.0,38062886400.0,465357939200.0,398878233600.0,8617.60101572608,51977.17583352001,6704.21274435584,281325.3267578881,140662.564890624,86784.83457638395,215051.93233440001,54333.133381632004,931653.9000832001,741241.3962240001
all_on,batch,1,3254,1,611855247099.0,1223.710494198,0.00081718674861523,2443048.958744542,2443048.958744542,986066.4307303219,28554.186091760002,1244871.7677927602,1.9964272353042753,2989584648.6551933,828943360.0,5028976379.0,644893312.0,13613548032.0,6806774016.0,50790499200.0,60167923200.0,38062886400.0,234721132800.0,201189542400.0,8617.60101572608,51977.17583352001,6704.21274435584,141579.697975296,70789.750499328,86784.83457638403,215051.93233440001,54333.133381632004,550775.8191165442,461022.980038656
all_off,batch,4,3254,4,6342120010988.0,12684.240021976,0.0003153519637810247,21999183.331309874,5499795.832827468,9027547.366957057,294937.599343296,10774062.36171312,1.7343714162768384,279042921661.788,3315773440.0,20115905516.0,2579573248.0,27245152256.0,13622576128.0,415268985600.0,771578931200.0,301853798400.0,3191025868800.0,1595512934400.0,34747.848024064006,207908.70333408003,27032.640724992,285521.500422144,142760.356257792,883273.2733440001,2695040.7316224,582534.3283200001,5930642.35008,2964965.584896
only_T1,batch,4,3254,4,5811212772588.0,11622.425545176,0.0003441622391515546,19474170.91910507,4868542.729776268,8385102.6537922565,272749.767439296,9072954.666097121,1.6755685672848224,226337101561.33038,3315773440.0,20115905516.0,2579573248.0,27245152256.0,13622576128.0,415268985600.0,240671692800.0,301853798400.0,3191025868800.0,1595512934400.0,34747.848024064006,207908.70333408003,27032.640724992,285521.500422144,142760.356257792,883273.2733440001,860207.7293376001,582534.3283200001,5930642.35008,2964965.584896
only_T2,batch,4,3254,4,5012525898988.0,10025.051797976,0.0003990004321780738,18066684.235962674,4516671.0589906685,7030285.023584257,229549.549320896,9303091.893361121,1.8021537045434748,181119445283.20227,3315773440.0,20115905516.0,2579573248.0,27245152256.0,13622576128.0,415268985600.0,771578931200.0,301853798400.0,1861431756800.0,1595512934400.0,34747.848024064006,207908.70333408003,27032.640724992,285521.500422144,142760.356257792,883273.2733440001,2695040.7316224,582534.3283200001,3726615.6003328003,2964965.584896
