variant,axis,point,kv_cache_init,batch,total_cycles,seconds,throughput_req_per_s,energy_mJ,energy_per_req_mJ,compute_mJ,sram_mJ,dram_mJ,avg_power_W,edp_mJs,cyc:text/qkv,cyc:text/attn,cyc:text/omap,cyc:text/ffn_up,cyc:text/ffn_down,cyc:img/qkv,cyc:img/attn,cyc:img/omap,cyc:img/ffn_up,cyc:img/ffn_down,e_mJ:text/qkv,e_mJ:text/attn,e_mJ:text/omap,e_mJ:text/ffn_up,e_mJ:text/ffn_down,e_mJ:img/qkv,e_mJ:img/attn,e_mJ:img/omap,e_mJ:img/ffn_up,e_mJ:img/ffn_down
all_off,ctxlen,2566,2566,1,1584015334347.0,3168.030668694,0.00031565350988607807,5725575.525611148,5725575.525611148,2214026.356426752,73894.80614801601,2962449.76273228,1.8072980107769852,18138798861.059887,3310849024.0,4033090187.0,2575264384.0,27218067968.0,13609033984.0,103817246400.0,157353504000.0,75463449600.0,797756467200.0,398878233600.0,34220.807477248,41684.426953904,26617.817769984,281325.326757888,140662.564890624,220818.31833600003,551490.7629504,145633.58208000002,1482660.58752,741241.396224
only_T1,ctxlen,2566,2566,1,1480968883147.0,2961.937766294,0.0003376168167271144,5235785.420129549,5235785.420129549,2089445.349476352,69567.95734481601,2632481.44836428,1.7676892066103753,15508070572.093208,3310849024.0,4033090187.0,2575264384.0,27218067968.0,13609033984.0,103817246400.0,54307052800.0,75463449600.0,797756467200.0,398878233600.0,34220.807477248,41684.426953904,26617.817769984,281325.326757888,140662.564890624,220818.31833600003,195661.0440288,145633.58208000002,1482660.58752,741241.396224
only_T2,ctxlen,2566,2566,1,1390619827147.0,2781.239654294,0.0003595518992604913,5158110.872196748,5158110.872196748,1927440.312010752,64716.369949616004,2748768.24209228,1.85460856069453,14345942498.998608,3310849024.0,4033090187.0,2575264384.0,27218067968.0,13609033984.0,103817246400.0,157353504000.0,75463449600.0,604360960000.0,398878233600.0,34220.807477248,41684.426953904,26617.817769984,281325.326757888,140662.564890624,220818.31833600003,551490.7629504,145633.58208000002,1166610.0934656002,741241.396224
only_T3,ctxlen,2566,2566,1,970542480843.0,1941.084961686,0.0005151758010280053,3877787.1243260284,3877787.1243260284,1606917.3470515201,45010.925114288,1934696.1079073201,1.9977420879907466,7527114271.648852,3310849024.0,4033090187.0,2575264384.0,13613548032.0,6806774016.0,103817246400.0,157353504000.0,75463449600.0,402379084800.0,201189542400.0,34220.807477248,41684.426953904,26617.817769984,141579.697975296,70789.750499328,220818.31833600003,551490.7629504,145633.58208000002,922223.7551493121,461022.98003865604
noT1,ctxlen,2566,2566,1,778156448907.0,1556.312897814,0.0006425443118826566,3143741.150617054,3143741.150617054,1243509.5225795382,36184.546210736,1630600.14715468,2.0199929943604262,4892644900.093946,828943360.0,4033090187.0,644893312.0,13613548032.0,6806774016.0,50790499200.0,157353504000.0,38062886400.0,304832640000.0,201189542400.0,8617.60101572608,41684.426953904,6704.21274435584,141579.697975296,70789.750499328,86784.83457638403,551490.7629504,54333.133381632004,709130.3669022722,461022.980038656
noT2,ctxlen,2566,2566,1,772656442507.0,1545.312885014,0.0006471181400852297,2993854.8116224944,2993854.8116224944,1307120.018128978,36473.569714736004,1418464.29102668,1.937377757382364,4626442416.261402,828943360.0,4033090187.0,644893312.0,13613548032.0,6806774016.0,50790499200.0,54307052800.0,38062886400.0,402379084800.0,201189542400.0,8617.60101572608,41684.426953904,6704.21274435584,141579.697975296,70789.750499328,86784.83457638403,195661.0440288,54333.133381632004,922223.7551493122,461022.980038656
noT3,ctxlen,2566,2566,1,1192733788811.0,2385.467577622,0.0004192050268806711,4274178.559493214,4274178.559493214,1627642.98308821,56179.01455006401,2232536.42521164,1.791757137925141,10195914374.638168,828943360.0,4033090187.0,644893312.0,27218067968.0,13609033984.0,50790499200.0,54307052800.0,38062886400.0,604360960000.0,398878233600.0,8617.60101572608,41684.426953904,6704.21274435584,281325.3267578881,140662.564890624,86784.83457638395,195661.0440288,54333.133381632004,1166610.0934656002,741241.3962240001
all_on,ctxlen,2566,2566,1,675109997707.0,1350.219995414,0.0007406200496189387,2653951.0451354543,2653951.0451354543,1118928.5156291379,31857.697407536,1300631.83278668,1.9655693547344544,3583417767.991774,828943360.0,4033090187.0,644893312.0,13613548032.0,6806774016.0,50790499200.0,54307052800.0,38062886400.0,304832640000.0,201189542400.0,8617.60101572608,41684.426953904,6704.21274435584,141579.697975296,70789.750499328,86784.83457638403,195661.0440288,54333.133381632004,709130.3669022722,461022.980038656
all_off,ctxlen,3211,3211,1,1617961649652.0,3235.923299304,0.00030903081053098056,5893982.895233808,5893982.895233808,2254208.061407232,75320.561770496,3079065.77716048,1.8214223113698393,19072476576.386326,3310849024.0,4966733492.0,2575264384.0,27218067968.0,13609033984.0,103817246400.0,190366176000.0,75463449600.0,797756467200.0,398878233600.0,34220.807477248,51334.005472064004,26617.817769984,281325.326757888,140662.564890624,220818.31833600003,666118.3441584001,145633.58208000002,1482660.58752,741241.396224
only_T1,ctxlen,3211,3211,1,1489853854452.0,2979.707708904,0.0003356033872086807,5283075.6209474085,5283075.6209474085,2098616.6306488323,69951.594530496,2667551.23943248,1.7730180732695544,15742021154.459778,3310849024.0,4966733492.0,2575264384.0,27218067968.0,13609033984.0,103817246400.0,62258380800.0,75463449600.0,797756467200.0,398878233600.0,34220.807477248,51334.005472064004,26617.817769984,281325.326757888,140662.564890624,220818.31833600003,221751.20363200002,145633.58208000002,1482660.58752,741241.396224
only_T2,ctxlen,3211,3211,1,1412478923252.0,2824.957846504,0.0003539875829430661,5300156.390017808,5300156.390017808,1958211.7289656322,65570.05466009601,2852630.92941648,1.8761895497226504,14972718381.679121,3310849024.0,4966733492.0,2575264384.0,27218067968.0,13609033984.0,103817246400.0,190366176000.0,75463449600.0,592273740800.0,398878233600.0,34220.807477248,51334.005472064004,26617.817769984,281325.326757888,140662.564890624,220818.31833600003,666118.3441584001,145633.58208000002,1155961.626624,741241.396224
only_T3,ctxlen,3211,3211,1,1004488796148.0,2008.977592296,0.0004977656315504894,4046194.4939486883,4046194.4939486883,1647099.0520320002,46436.680736768,2051312.12233552,2.0140565576564815,8128714072.414369,3310849024.0,4966733492.0,2575264384.0,13613548032.0,6806774016.0,103817246400.0,190366176000.0,75463449600.0,402379084800.0,201189542400.0,34220.807477248,51334.005472064004,26617.817769984,141579.697975296,70789.750499328,220818.31833600003,666118.3441584001,145633.58208000002,922223.7551493121,461022.98003865604
noT1,ctxlen,3211,3211,1,806006111412.0,1612.012222824,0.000620342690856371,3297090.4305567704,3297090.4305567704,1277511.8050898742,37323.391164416,1740453.4008788802,2.0453259496883773,5314950073.813559,828943360.0,4966733492.0,644893312.0,13613548032.0,6806774016.0,50790499200.0,190366176000.0,38062886400.0,298735987200.0,201189542400.0,8617.60101572608,51334.005472064004,6704.21274435584,141579.697975296,70789.750499328,86784.83457638403,666118.3441584002,54333.133381632004,701997.925859328,461022.980038656
noT2,ctxlen,3211,3211,1,781541413812.0,1563.082827624,0.000639761362819188,3041145.012440354,3041145.012440354,1316291.299301458,36857.206900416,1453534.08209488,1.945607077689617,4753561545.259893,828943360.0,4966733492.0,644893312.0,13613548032.0,6806774016.0,50790499200.0,62258380800.0,38062886400.0,402379084800.0,201189542400.0,8617.60101572608,51334.005472064004,6704.21274435584,141579.697975296,70789.750499328,86784.83457638403,221751.20363200002,54333.133381632004,922223.7551493122,461022.980038656
noT3,ctxlen,3211,3211,1,1189531540916.0,2379.063081832,0.0004203335370283452,4295106.908509474,4295106.908509474,1627403.97623509,55990.58082374401,2254852.88917584,1.8053774787686683,10218330278.556463,828943360.0,4966733492.0,644893312.0,27218067968.0,13609033984.0,50790499200.0,62258380800.0,38062886400.0,592273740800.0,398878233600.0,8617.60101572608,51334.005472064004,6704.21274435584,281325.3267578881,140662.564890624,86784.83457638395,221751.20363200002,54333.133381632004,1155961.626624,741241.3962240001
all_on,ctxlen,3211,3211,1,677898316212.0,1355.796632424,0.0007375737452689502,2686183.1562703704,2686183.1562703704,1121920.3743314738,31954.423924416,1328938.86315088,1.9812581710487065,3641918077.3454394,828943360.0,4966733492.0,644893312.0,13613548032.0,6806774016.0,50790499200.0,62258380800.0,38062886400.0,298735987200.0,201189542400.0,8617.60101572608,51334.005472064004,6704.21274435584,141579.697975296,70789.750499328,86784.83457638403,221751.20363200002,54333.133381632004,701997.9258593281,461022.980038656
all_off,ctxlen,7609,7609,1,1850700895034.0,3701.401790068,0.00027016791386531115,7043971.302714729,7043971.302714729,2528191.2218787842,85072.794831584,3875497.01749416,1.9030550321815562,26072567989.05592,3310849024.0,11332878074.0,2575264384.0,27218067968.0,13609033984.0,103817246400.0,416739276800.0,75463449600.0,797756467200.0,398878233600.0,34220.807477248,117130.67629558401,26617.817769984,281325.326757888,140662.564890624,220818.31833600003,1447749.0618192002,145633.58208000002,1482660.58752,741241.396224
only_T1,ctxlen,7609,7609,1,1556725983034.0,3113.451966068,0.00032118690472777935,5645809.348311529,5645809.348311529,2172452.9153187843,72786.887788384,2933551.75029416,1.8133600292673409,17577956215.54562,3310849024.0,11332878074.0,2575264384.0,27218067968.0,13609033984.0,103817246400.0,122764364800.0,75463449600.0,797756467200.0,398878233600.0,34220.807477248,117130.67629558401,26617.817769984,281325.326757888,140662.564890624,220818.31833600003,431754.493016,145633.58208000002,1482660.58752,741241.396224
only_T2,ctxlen,7609,7609,1,1639174559034.0,3278.349118068,0.00030503157656049795,6423068.2455627285,6423068.2455627285,2214514.954358784,75033.838799584,3641767.08469416,1.9592386332996703,21057060118.131145,3310849024.0,11332878074.0,2575264384.0,27218067968.0,13609033984.0,103817246400.0,416739276800.0,75463449600.0,586230131200.0,398878233600.0,34220.807477248,117130.67629558401,26617.817769984,281325.326757888,140662.564890624,220818.31833600003,1447749.0618192002,145633.58208000002,1136741.767168,741241.396224
only_T3,ctxlen,7609,7609,1,1237228041530.0,2474.45608306,0.0004041292172635227,5196182.901429608,5196182.901429608,1921082.2125035522,56188.913797856,2847743.3626692,2.0999293287128475,12857726389.134855,3310849024.0,11332878074.0,2575264384.0,13613548032.0,6806774016.0,103817246400.0,416739276800.0,75463449600.0,402379084800.0,201189542400.0,34220.807477248,117130.67629558401,26617.817769984,141579.697975296,70789.750499328,220818.31833600003,1447749.0618192002,145633.58208000002,922223.7551493121,461022.98003865604
noT1,ctxlen,7609,7609,1,1035697030394.0,2071.394060788,0.00048276666373156437,4430108.845426874,4430108.845426874,1539885.1415266101,46929.755425504,2532584.8393565603,2.1387088672744246,9176501151.061611,828943360.0,11332878074.0,644893312.0,13613548032.0,6806774016.0,50790499200.0,416739276800.0,38062886400.0,295687660800.0,201189542400.0,8617.60101572608,117130.67629558404,6704.21274435584,141579.697975296,70789.750499328,86784.834576384,1447749.0618192002,54333.133381632004,688990.757568512,461022.980038656
noT2,ctxlen,7609,7609,1,848413542394.0,1696.827084788,0.0005893352416194718,3403878.739804474,3403878.739804474,1390127.58397141,39692.500158304,1719534.5929565602,2.006025699566053,5775793639.034277,828943360.0,11332878074.0,644893312.0,13613548032.0,6806774016.0,50790499200.0,122764364800.0,38062886400.0,402379084800.0,201189542400.0,8617.60101572608,117130.67629558404,6704.21274435584,141579.697975296,70789.750499328,86784.834576384,431754.493016,54333.133381632004,922223.7551493122,461022.980038656
noT3,ctxlen,7609,7609,1,1250360059898.0,2500.720119796,0.00039988481401172416,4630764.083937595,4630764.083937595,1683560.325826642,58537.425160032006,2513558.31498152,1.8517722344375571,11580244914.731434,828943360.0,11332878074.0,644893312.0,27218067968.0,13609033984.0,50790499200.0,122764364800.0,38062886400.0,586230131200.0,398878233600.0,8617.60101572608,117130.67629558401,6704.21274435584,281325.3267578881,140662.564890624,86784.83457638395,431754.493016,54333.133381632004,1136741.767168,741241.3962240001
all_on,ctxlen,7609,7609,1,741722118394.0,1483.444236788,0.0006741069028420181,3031946.891023674,3031946.891023674,1184146.8349666102,34643.848382304,1590639.5721565601,2.0438563282894546,4497724141.736363,828943360.0,11332878074.0,644893312.0,13613548032.0,6806774016.0,50790499200.0,122764364800.0,38062886400.0,295687660800.0,201189542400.0,8617.60101572608,117130.67629558404,6704.21274435584,141579.697975296,70789.750499328,86784.834576384,431754.493016,54333.133381632004,688990.7575685121,461022.980038656
