model,hw,task,status,total_cycles,text_cycles,image_cycles,total_energy_mJ,compute_mJ,sram_mJ,dram_mJ,avg_power_W,edp_mJs,total_mac,util_pct,text_cmp,text_mem,img_cmp,img_mem,wall_s
bagel,ours,GenEdit,ok,611855247099.0,26923135099.0,584932112000.0,1953564.761,986066.431,28554.186,755387.57,1.596,2390597699.211,1064640051736576,84.96,3.0,100.0,88.73,5.97,7.2
bagel,ours,GenEval,ok,461217896445.0,22282421245.0,438935475200.0,1468488.63,761178.724,21932.184,547012.353,1.592,1354586473.849,819623564103680,86.77,3.3,100.0,91.01,5.04,7.3
bagel,ours,MM,ok,16700927530.0,16700927530.0,0.0,181670.234,940.872,1361.4,174357.683,5.439,6068122.809,1653327699968,4.83,4.83,100.0,0.0,0.0,0.2
bagel,figna,GenEdit,ok,1579980055547.0,16719745147.0,1563260310400.0,2714352.861,1001134.427,66800.395,1172424.022,0.859,8577246769.03,1504591227826176,46.5,9.66,100.0,93.89,4.28,9.4
bagel,figna,GenEval,ok,982771152893.0,12079031293.0,970692121600.0,1536462.034,581068.354,41060.084,619502.25,0.782,3019981128.823,945799906938880,46.99,12.18,100.0,95.0,3.01,9.8
bagel,figna,MM,ok,16700927530.0,16700927530.0,0.0,182645.944,1090.301,2187.681,174357.683,5.468,6100713.344,1653327699968,4.83,9.67,100.0,0.0,0.0,0.2
bagel,flightvgm,GenEdit,ok,814192457339.0,51742191739.0,762450265600.0,4067035.664,2130846.014,71399.789,1620532.123,2.498,6622699522.023,1420564009496576,85.19,1.56,100.0,90.87,11.88,9.5
bagel,flightvgm,GenEval,ok,541403180285.0,47101477885.0,494301702400.0,2677740.341,1410715.374,47605.636,1056998.377,2.473,2899474272.821,940476915732480,84.82,1.56,100.0,92.75,9.21,9.8
bagel,flightvgm,MM,ok,51723374122.0,51723374122.0,0.0,560471.148,2479.992,2482.118,539992.026,5.418,57978917.747,1653327699968,1.56,1.56,100.0,0.0,0.0,0.2
bagel,sdma,GenEdit,ok,846126972539.0,51742191739.0,794384780800.0,4155855.668,2233737.923,74604.119,1593675.534,2.456,7032763149.841,1489158615576576,85.94,1.56,100.0,91.43,11.0,9.9
bagel,sdma,GenEval,ok,541408959485.0,47101477885.0,494307481600.0,2667209.851,1411916.978,47660.356,1045209.829,2.463,2888102620.341,941277985607680,84.89,1.56,100.0,92.83,8.98,9.6
bagel,sdma,MM,ok,51723374122.0,51723374122.0,0.0,560471.148,2479.992,2482.118,539992.026,5.418,57978917.747,1653327699968,1.56,1.56,100.0,0.0,0.0,0.2
janus,ours,GenEval,ok,68163874488.0,3888142008.0,64275732480.0,232756.924,100074.932,3286.323,108946.507,1.707,31731227.469,116883544768512,83.73,,,,,0.2
janus,ours,MM,ok,3379355304.0,3379355304.0,0.0,36750.752,188.277,268.2,35280.469,5.438,248387.7,319422627840,4.62,,,,,0.2
janus,figna,GenEval,ok,131016524472.0,2402375352.0,128614149120.0,253918.16,84641.793,5780.19,124191.219,0.969,66534949.706,126168229773312,47.02,,,,,0.3
janus,figna,MM,ok,3379355304.0,3379355304.0,0.0,36938.49,216.515,427.699,35280.469,5.465,249656.566,319422627840,4.62,,,,,0.2
janus,flightvgm,GenEval,ok,73198979256.0,9020790456.0,64178188800.0,409821.59,184095.112,6342.059,197424.725,2.799,59997044.132,122730074898432,81.87,,,,,0.2
janus,flightvgm,MM,ok,9997770408.0,9997770408.0,0.0,108335.177,479.134,479.989,104376.723,5.418,2166220.458,319422627840,1.56,,,,,0.2
janus,sdma,GenEval,ok,74269210296.0,9020790456.0,65248419840.0,410586.516,187195.802,6453.08,194656.871,2.764,60987872.673,124797201580032,82.05,,,,,0.2
janus,sdma,MM,ok,9997770408.0,9997770408.0,0.0,108335.177,479.134,479.989,104376.723,5.418,2166220.458,319422627840,1.56,,,,,0.2
janus,base,GenEval,ok,75099018936.0,9020790456.0,66078228480.0,416837.482,189252.345,6518.137,198537.294,2.775,62608171.836,126168229773312,82.03,,,,,0.3
