model,task,hw,status,total_cycles,total_energy_mJ,total_mac,util_pct,wall_s
bagel,GenEdit,HCA,ok,1620552449339.0,5905635.944,1504591227826176,45.33,11.8
bagel,GenEdit,SA,ok,814192457339.0,4718389.629,1420564009496576,85.19,9.6
bagel,GenEdit,FIGNA,ok,1579980055547.0,3978336.906,1504591227826176,46.5,9.5
bagel,GenEdit,AxCore,ok,1579980055547.0,3883817.907,1504591227826176,46.5,9.3
bagel,GenEdit,FlightVGM,ok,814192457339.0,4718389.629,1420564009496576,85.19,9.5
bagel,GenEdit,S-DMA,ok,846126972539.0,4832757.246,1489158615576576,85.94,10.2
bagel,GenEdit,ARGUS,ok,611855247099.0,2443048.959,1064640051736576,84.96,7.2
bagel,GenEval,HCA,ok,1021493564285.0,3743816.699,945799906938880,45.21,12.7
bagel,GenEval,SA,ok,541403180285.0,3110862.885,940476915732480,84.82,9.8
bagel,GenEval,FIGNA,ok,982771152893.0,2322678.956,945799906938880,46.99,9.2
bagel,GenEval,AxCore,ok,982771152893.0,2259631.423,945799906938880,46.99,9.5
bagel,GenEval,FlightVGM,ok,541403180285.0,3110862.885,940476915732480,84.82,9.7
bagel,GenEval,S-DMA,ok,541408959485.0,3100337.019,941277985607680,84.89,9.7
bagel,GenEval,ARGUS,ok,461217896445.0,1837462.947,819623564103680,86.77,7.2
bagel,MM,HCA,ok,51723374122.0,601849.847,1653327699968,1.56,0.2
bagel,MM,SA,ok,51723374122.0,601849.847,1653327699968,1.56,0.2
bagel,MM,FIGNA,ok,16700927530.0,196006.686,1653327699968,4.83,0.2
bagel,MM,AxCore,ok,16700927530.0,195902.086,1653327699968,4.83,0.2
bagel,MM,FlightVGM,ok,51723374122.0,601849.847,1653327699968,1.56,0.2
bagel,MM,S-DMA,ok,51723374122.0,601849.847,1653327699968,1.56,0.2
bagel,MM,ARGUS,ok,16700927530.0,195030.976,1653327699968,4.83,0.2
janus,GenEval,HCA,ok,137634939576.0,558213.394,126168229773312,44.76,0.2
janus,GenEval,SA,ok,73198979256.0,468380.773,122730074898432,81.87,0.2
janus,GenEval,FIGNA,ok,131016524472.0,358731.38,126168229773312,47.02,0.2
janus,GenEval,AxCore,ok,131016524472.0,350857.467,126168229773312,47.02,0.2
janus,GenEval,FlightVGM,ok,73198979256.0,468380.773,122730074898432,81.87,0.2
janus,GenEval,S-DMA,ok,74269210296.0,470001.885,124797201580032,82.05,0.2
janus,GenEval,ARGUS,ok,68163874488.0,287288.023,116883544768512,83.73,0.2
janus,MM,HCA,ok,9997770408.0,116333.394,319422627840,1.56,0.2
janus,MM,SA,ok,9997770408.0,116333.394,319422627840,1.56,0.2
janus,MM,FIGNA,ok,3379355304.0,39641.974,319422627840,4.62,0.2
janus,MM,AxCore,ok,3379355304.0,39622.207,319422627840,4.62,0.2
janus,MM,FlightVGM,ok,9997770408.0,116333.394,319422627840,1.56,0.2
janus,MM,S-DMA,ok,9997770408.0,116333.394,319422627840,1.56,0.2
janus,MM,ARGUS,ok,3379355304.0,39454.237,319422627840,4.62,0.2
