model,hw,task,variant,status,total_cycles,text_cycles,image_cycles,total_energy_mJ,total_mac,util_pct,text_cmp,text_mem,img_cmp,img_mem,wall_s
bagel,ours,GenEdit,alloff,ok,1620552449339.0,51742191739.0,1568810257600.0,5905635.944,1504591227826176,45.33,1.56,100.0,46.78,5.83,11.8
bagel,ours,GenEdit,onlyT1,ok,1487825639739.0,51742191739.0,1436083448000.0,5274382.841,1397517108965376,45.86,1.56,100.0,47.46,4.38,11.7
bagel,ours,GenEdit,onlyT2,ok,1288153921339.0,51742191739.0,1236411729600.0,4922511.17,1171714170597376,44.41,1.56,100.0,46.21,7.12,11.8
bagel,ours,GenEdit,onlyT3,ok,1007079595835.0,31335411835.0,975744184000.0,4057847.543,1504591227826176,72.95,2.58,100.0,75.21,7.32,11.9
bagel,ours,GenEdit,noT3,ok,1060587524603.0,47329915003.0,1013257609600.0,3897115.86,1064640051736576,49.01,1.71,100.0,51.22,5.42,7.4
bagel,ours,GenEval,alloff,ok,1021493564285.0,47101477885.0,974392086400.0,3743816.699,945799906938880,45.21,1.56,100.0,47.32,4.68,11.8
bagel,ours,GenEval,onlyT1,ok,993520757885.0,47101477885.0,946419280000.0,3610759.118,923231785799680,45.37,1.56,100.0,47.55,4.18,12.1
bagel,ours,GenEval,onlyT2,ok,918752201085.0,47101477885.0,871650723200.0,3438963.088,842191685242880,44.76,1.56,100.0,47.09,5.11,12.1
bagel,ours,GenEval,onlyT3,ok,605709401981.0,26694697981.0,579014704000.0,2433242.012,945799906938880,76.24,2.76,100.0,79.63,5.57,11.7
bagel,ours,GenEval,noT3,ok,826082244349.0,42689201149.0,783393043200.0,3026059.779,819623564103680,48.45,1.72,100.0,50.99,4.53,7.1
bagel,ours,MM,alloff,ok,51723374122.0,51723374122.0,0.0,601849.847,1653327699968,1.56,1.56,100.0,0.0,0.0,0.2
bagel,ours,MM,onlyT1,ok,51723374122.0,51723374122.0,0.0,601849.847,1653327699968,1.56,1.56,100.0,0.0,0.0,0.3
bagel,ours,MM,onlyT2,ok,51723374122.0,51723374122.0,0.0,601849.847,1653327699968,1.56,1.56,100.0,0.0,0.0,0.2
bagel,ours,MM,onlyT3,ok,21113204266.0,21113204266.0,0.0,246283.747,1653327699968,3.82,3.82,100.0,0.0,0.0,0.3
bagel,ours,MM,noT3,ok,47311097386.0,47311097386.0,0.0,550597.076,1653327699968,1.71,1.71,100.0,0.0,0.0,0.2
janus,ours,GenEval,alloff,ok,137634939576.0,9020790456.0,128614149120.0,558213.394,126168229773312,44.76,,,,,0.3
janus,ours,GenEval,onlyT1,ok,129792307896.0,9020790456.0,120771517440.0,520853.949,119790197440512,45.07,,,,,0.3
janus,ours,GenEval,onlyT2,ok,134426389176.0,9020790456.0,125405598720.0,548912.08,123261577101312,44.77,,,,,0.3
janus,ours,GenEval,onlyT3,ok,96744727224.0,6049257144.0,90695470080.0,421864.105,126168229773312,63.68,,,,,0.3
janus,ours,GenEval,noT3,ok,107474141880.0,6859675320.0,100614466560.0,420011.714,116883544768512,53.1,,,,,0.3
janus,ours,MM,alloff,ok,9997770408.0,9997770408.0,0.0,116333.394,319422627840,1.56,,,,,0.2
janus,ours,MM,onlyT1,ok,9997770408.0,9997770408.0,0.0,116333.394,319422627840,1.56,,,,,0.2
janus,ours,MM,onlyT2,ok,9997770408.0,9997770408.0,0.0,116333.394,319422627840,1.56,,,,,0.2
janus,ours,MM,onlyT3,ok,5540470440.0,5540470440.0,0.0,64557.635,319422627840,2.82,,,,,0.2
janus,ours,MM,noT3,ok,7836655272.0,7836655272.0,0.0,91229.995,319422627840,1.99,,,,,0.2
bagel,base,GenEdit,,ok,814192457339.0,51742191739.0,762450265600.0,4718389.629,1420564009496576,85.19,1.56,100.0,90.87,11.88,9.7
bagel,base,GenEval,,ok,541403180285.0,47101477885.0,494301702400.0,3110862.885,940476915732480,84.82,1.56,100.0,92.75,9.21,10.0
bagel,base,MM,,ok,51723374122.0,51723374122.0,0.0,601849.847,1653327699968,1.56,1.56,100.0,0.0,0.0,0.3
